,Date,Avg
1,01/11/2019,15.16625
2,01/10/2019,15.596499999999999
3,01/09/2019,15.17
4,01/08/2019,15.017
5,01/07/2019,14.69
6,01/04/2019,15.885
7,01/03/2019,15.769300000000001
8,01/02/2019,15.1894
9,12/31/2018,15.7894
10,12/28/2018,15.6
11,12/27/2018,14.974
12,12/26/2018,15.18
13,12/24/2018,15.42
14,12/21/2018,15.438500000000001
15,12/20/2018,14.9775
16,12/19/2018,16.01
17,12/18/2018,16.51
18,12/17/2018,16.555
19,12/14/2018,16.92785
20,12/13/2018,17.1129
21,12/12/2018,17.25505
22,12/11/2018,17.6501
23,12/10/2018,17.665
24,12/07/2018,18.15
25,12/06/2018,17.9
26,12/04/2018,17.825
27,12/03/2018,18.404249999999998
28,11/30/2018,18.3418
29,11/29/2018,19.4125
30,11/28/2018,19.13
31,11/27/2018,18.97515
32,11/26/2018,18.667099999999998
33,11/23/2018,18.5
34,11/21/2018,18.5745
35,11/20/2018,18.7
36,11/19/2018,18.615
37,11/16/2018,18.0425
38,11/15/2018,14.57235
39,11/14/2018,16.125
40,11/13/2018,19.176650000000002
41,11/12/2018,21.17
42,11/09/2018,22.9438
43,11/08/2018,23.1169
44,11/07/2018,22.82
45,11/06/2018,22.585
46,11/05/2018,22.8875
47,11/02/2018,22.8875
48,11/01/2018,22.8875
49,10/31/2018,22.59375
50,10/30/2018,23.19
51,10/29/2018,23.19
52,10/26/2018,22.5665
53,10/25/2018,22.5949
54,10/24/2018,22.5949
55,10/23/2018,22.332250000000002
56,10/22/2018,22.2548
57,10/19/2018,22.42505
58,10/18/2018,22.62
59,10/17/2018,22.675
60,10/16/2018,22.73
61,10/15/2018,22.415
62,10/12/2018,22.375
63,10/11/2018,22.145049999999998
64,10/10/2018,21.695
65,10/09/2018,21.73995
66,10/08/2018,21.3566
67,10/05/2018,21.509999999999998
68,10/04/2018,21.30345
69,10/03/2018,21.6
70,10/02/2018,21.6
71,10/01/2018,21.5923
72,09/28/2018,21.36175
73,09/27/2018,21.3463
74,09/26/2018,21.275
75,09/25/2018,22.39
76,09/24/2018,22.39
77,09/21/2018,21.605
78,09/20/2018,22.31775
79,09/19/2018,22.19
80,09/18/2018,21.745
81,09/17/2018,21.9338
82,09/14/2018,21.4863
83,09/13/2018,21.3573
84,09/12/2018,21.3573
85,09/11/2018,21.3573
86,09/10/2018,21.3573
87,09/07/2018,21.3573
88,09/06/2018,21.2819
89,09/05/2018,21.25
90,09/04/2018,21.552999999999997
91,08/31/2018,21.0152
92,08/30/2018,20.93
93,08/29/2018,20.645000000000003
94,08/28/2018,19.975
95,08/27/2018,20.049999999999997
96,08/24/2018,20.51
97,08/23/2018,20.65
98,08/22/2018,20.7985
99,08/21/2018,21.1
100,08/20/2018,21.175
101,08/17/2018,21.15
