,Date,Avg
1,01/11/2019,3.1825
2,01/10/2019,3.18
3,01/09/2019,3.17
4,01/08/2019,3.13
5,01/07/2019,3.05
6,01/04/2019,2.965
7,01/03/2019,2.885
8,01/02/2019,2.865
9,12/31/2018,2.84
10,12/28/2018,2.7750000000000004
11,12/27/2018,2.7175
12,12/26/2018,2.67
13,12/24/2018,2.615
14,12/21/2018,2.69
15,12/20/2018,2.725
16,12/19/2018,2.825
17,12/18/2018,2.855
18,12/17/2018,2.93
19,12/14/2018,2.9525
20,12/13/2018,2.9875
21,12/12/2018,2.995
22,12/11/2018,2.9975
23,12/10/2018,2.9850000000000003
24,12/07/2018,2.9699999999999998
25,12/06/2018,2.96
26,12/04/2018,3.045
27,12/03/2018,3.0875000000000004
28,11/30/2018,3.0175
29,11/29/2018,3.06
30,11/28/2018,2.995
31,11/27/2018,2.9699999999999998
32,11/26/2018,3.0125
33,11/23/2018,3.01
34,11/21/2018,2.98
35,11/20/2018,2.9050000000000002
36,11/19/2018,2.95
37,11/16/2018,2.965
38,11/15/2018,2.885
39,11/14/2018,2.9050000000000002
40,11/13/2018,2.875
41,11/12/2018,2.885
42,11/09/2018,2.8625
43,11/08/2018,2.9
44,11/07/2018,2.7800000000000002
45,11/06/2018,2.4850000000000003
46,11/05/2018,2.49
47,11/02/2018,2.505
48,11/01/2018,2.5149999999999997
49,10/31/2018,2.4888
50,10/30/2018,2.465
51,10/29/2018,2.4775
52,10/26/2018,2.4850000000000003
53,10/25/2018,2.46
54,10/24/2018,2.45
55,10/23/2018,2.515
56,10/22/2018,2.5300000000000002
57,10/19/2018,2.58
58,10/18/2018,2.545
59,10/17/2018,2.58
60,10/16/2018,2.5462
61,10/15/2018,2.545
62,10/12/2018,2.4850000000000003
63,10/11/2018,2.5
64,10/10/2018,2.567
65,10/09/2018,2.645
66,10/08/2018,2.6125
67,10/05/2018,2.6125
68,10/04/2018,2.6399999999999997
69,10/03/2018,2.6675
70,10/02/2018,2.585
71,10/01/2018,2.585
72,09/28/2018,2.615
73,09/27/2018,2.5700000000000003
74,09/26/2018,2.545
75,09/25/2018,2.525
