,Date,Avg
1,01/11/2019,3.83
2,01/10/2019,3.69
3,01/09/2019,3.66005
4,01/08/2019,3.66
5,01/07/2019,3.8949999999999996
6,01/04/2019,3.56
7,01/03/2019,3.45
8,01/02/2019,3.3525
9,12/31/2018,3.075
10,12/28/2018,2.8950500000000003
11,12/27/2018,3.0252
12,12/26/2018,3.4850000000000003
13,12/24/2018,3.8175
14,12/21/2018,3.7001999999999997
15,12/20/2018,4.285
16,12/19/2018,4.43
17,12/18/2018,4.25
18,12/17/2018,5.109999999999999
19,12/14/2018,4.845
20,12/13/2018,5.04995
21,12/12/2018,5.109999999999999
22,12/11/2018,4.895
23,12/10/2018,4.7732
24,12/07/2018,4.8100000000000005
25,12/06/2018,4.88
26,12/04/2018,5.08495
27,12/03/2018,5.195
28,11/30/2018,5.02
29,11/29/2018,5.125
30,11/28/2018,5.225
31,11/27/2018,5.145
32,11/26/2018,5.53495
33,11/23/2018,5.62
34,11/21/2018,5.57
35,11/20/2018,5.74
36,11/19/2018,6.0626999999999995
37,11/16/2018,6.27
38,11/15/2018,6.165
39,11/14/2018,6.24
40,11/13/2018,6.475
41,11/12/2018,6.85
42,11/09/2018,7.025
43,11/08/2018,6.970000000000001
44,11/07/2018,6.994149999999999
45,11/06/2018,6.795
46,11/05/2018,6.785
47,11/02/2018,7.11
48,11/01/2018,6.4625
49,10/31/2018,6.02075
50,10/30/2018,6.02
51,10/29/2018,6.01
52,10/26/2018,5.73
53,10/25/2018,5.58505
54,10/24/2018,6.66
55,10/23/2018,7.460000000000001
56,10/22/2018,7.395
57,10/19/2018,8.290000000000001
58,10/18/2018,8.040000000000001
59,10/17/2018,1.8900000000000001
60,10/16/2018,1.885
61,10/15/2018,1.7725
62,10/12/2018,1.77175
63,10/11/2018,1.7999999999999998
64,10/10/2018,1.85
65,10/09/2018,1.96505
66,10/08/2018,2.065
67,10/05/2018,2.3080499999999997
68,10/04/2018,2.3499999999999996
69,10/03/2018,2.4349999999999996
70,10/02/2018,2.46
71,10/01/2018,2.475
72,09/28/2018,2.5
73,09/27/2018,2.55425
74,09/26/2018,2.6500000000000004
75,09/25/2018,2.525
76,09/24/2018,2.5262000000000002
77,09/21/2018,2.515
78,09/20/2018,2.5285
79,09/19/2018,2.4097999999999997
80,09/18/2018,2.2750000000000004
81,09/17/2018,2.245
82,09/14/2018,2.335
83,09/13/2018,2.404
84,09/12/2018,2.38
85,09/11/2018,2.38
86,09/10/2018,2.465
87,09/07/2018,2.4450000000000003
88,09/06/2018,2.59335
89,09/05/2018,2.69
90,09/04/2018,2.66
91,08/31/2018,2.645
92,08/30/2018,2.56
93,08/29/2018,2.5250000000000004
94,08/28/2018,2.4475
95,08/27/2018,2.49
96,08/24/2018,2.4497
97,08/23/2018,2.4699999999999998
98,08/22/2018,2.45
99,08/21/2018,2.385
100,08/20/2018,2.3
101,08/17/2018,2.33
102,08/16/2018,2.2942
103,08/15/2018,2.23
104,08/14/2018,2.4
105,08/13/2018,2.425
106,08/10/2018,2.42765
107,08/09/2018,2.505
108,08/08/2018,2.48
109,08/07/2018,2.48
110,08/06/2018,2.41505
111,08/03/2018,2.425
112,08/02/2018,2.51
113,08/01/2018,2.4699999999999998
114,07/31/2018,2.42
115,07/30/2018,2.3449999999999998
116,07/27/2018,2.485
117,07/26/2018,2.4749999999999996
118,07/25/2018,2.685
119,07/24/2018,2.73
120,07/23/2018,2.745
121,07/20/2018,2.755
122,07/19/2018,2.7800000000000002
123,07/18/2018,2.755
124,07/17/2018,2.795
125,07/16/2018,2.795
126,07/13/2018,2.825
127,07/12/2018,2.8499999999999996
128,07/11/2018,2.855
129,07/10/2018,2.84215
130,07/09/2018,2.9050000000000002
131,07/06/2018,2.92
132,07/05/2018,2.815
133,07/03/2018,2.79
134,07/02/2018,2.77
135,06/29/2018,2.825
136,06/28/2018,2.79
137,06/27/2018,2.885
138,06/26/2018,2.935
139,06/25/2018,3.04
140,06/22/2018,3.015
141,06/21/2018,2.96
142,06/20/2018,3.11
143,06/19/2018,3.0300000000000002
144,06/18/2018,3.05
145,06/15/2018,3.02255
146,06/14/2018,2.795
147,06/13/2018,2.7824999999999998
148,06/12/2018,2.8449999999999998
149,06/11/2018,2.9899
150,06/08/2018,3.0300000000000002
151,06/07/2018,3.33
152,06/06/2018,4.855
153,06/05/2018,4.89
154,06/04/2018,4.925
155,06/01/2018,4.945
156,05/31/2018,4.952500000000001
157,05/30/2018,4.922
158,05/29/2018,4.657500000000001
159,05/25/2018,4.78
160,05/24/2018,4.885
161,05/23/2018,5.015
162,05/22/2018,4.975
163,05/21/2018,4.995
164,05/18/2018,5.0
165,05/17/2018,5.02
166,05/16/2018,5.265000000000001
167,05/15/2018,5.4354
168,05/14/2018,5.175
169,05/11/2018,5.215
170,05/10/2018,5.075
171,05/09/2018,4.885
172,05/08/2018,5.07
173,05/07/2018,5.16
174,05/04/2018,5.23
175,05/03/2018,5.2625
176,05/02/2018,5.2655
177,05/01/2018,5.145
178,04/30/2018,5.23
179,04/27/2018,5.3525
180,04/26/2018,5.22
181,04/25/2018,5.085
182,04/24/2018,5.0875
183,04/23/2018,5.13
184,04/20/2018,5.08
185,04/19/2018,5.195
186,04/18/2018,5.390000000000001
187,04/17/2018,5.279999999999999
188,04/16/2018,5.16915
189,04/13/2018,5.095000000000001
190,04/12/2018,5.1
191,04/11/2018,5.0779
192,04/10/2018,4.785
193,04/09/2018,4.654999999999999
194,04/06/2018,4.6752
195,04/05/2018,4.605
196,04/04/2018,4.85
197,04/03/2018,4.56
198,04/02/2018,4.645
199,03/29/2018,4.78
200,03/28/2018,4.885
201,03/27/2018,5.055
202,03/26/2018,4.775
203,03/23/2018,5.26
204,03/22/2018,5.15
205,03/21/2018,5.5600000000000005
206,03/20/2018,5.5600000000000005
207,03/19/2018,7.005
208,03/16/2018,7.0024999999999995
209,03/15/2018,7.715
210,03/14/2018,6.615
211,03/13/2018,6.625
212,03/12/2018,4.0600000000000005
213,03/09/2018,4.075
214,03/08/2018,3.6100000000000003
215,03/07/2018,3.4000000000000004
216,03/06/2018,3.3
217,03/05/2018,3.4005
218,03/02/2018,3.1885
219,03/01/2018,3.0300000000000002
220,02/28/2018,2.99
221,02/27/2018,3.065
222,02/26/2018,3.0645
223,02/23/2018,2.9349999999999996
224,02/22/2018,3.045
225,02/21/2018,3.1695
226,02/20/2018,2.9805
227,02/16/2018,3.0
228,02/15/2018,3.0300000000000002
229,02/14/2018,3.1009
230,02/13/2018,3.0352
231,02/12/2018,2.8449999999999998
232,02/09/2018,2.57
233,02/08/2018,2.695
234,02/07/2018,2.8150000000000004
235,02/06/2018,2.7
236,02/05/2018,2.8696
237,02/02/2018,3.0250000000000004
