,Date,Avg
1,01/11/2019,1.81005
2,01/10/2019,1.8250000000000002
3,01/09/2019,1.815
4,01/08/2019,1.82
5,01/07/2019,1.83
6,01/04/2019,1.8004
7,01/03/2019,1.7686000000000002
8,01/02/2019,1.66855
9,12/31/2018,1.615
10,12/28/2018,1.595
11,12/27/2018,1.545
12,12/26/2018,1.565
13,12/24/2018,1.505
14,12/21/2018,1.505
15,12/20/2018,1.525
16,12/19/2018,1.595
17,12/18/2018,1.645
18,12/17/2018,1.76
19,12/14/2018,1.77475
20,12/13/2018,1.7349999999999999
21,12/12/2018,1.78
22,12/11/2018,1.69
23,12/10/2018,1.7149999999999999
24,12/07/2018,1.81
25,12/06/2018,1.76
26,12/04/2018,1.85835
27,12/03/2018,1.8599999999999999
28,11/30/2018,1.7206000000000001
29,11/29/2018,1.7555999999999998
30,11/28/2018,1.7734
31,11/27/2018,1.89995
32,11/26/2018,1.88
33,11/23/2018,1.8
34,11/21/2018,1.895
35,11/20/2018,1.8399999999999999
36,11/19/2018,1.9449999999999998
37,11/16/2018,1.9949999999999999
38,11/15/2018,1.9443000000000001
39,11/14/2018,1.9100000000000001
40,11/13/2018,1.9987
41,11/12/2018,2.105
42,11/09/2018,2.14
43,11/08/2018,2.19
44,11/07/2018,2.215
45,11/06/2018,2.17
46,11/05/2018,2.1900500000000003
47,11/02/2018,2.22605
48,11/01/2018,2.26
49,10/31/2018,2.3072999999999997
50,10/30/2018,2.225
51,10/29/2018,2.29
52,10/26/2018,2.3005
53,10/25/2018,2.5700000000000003
54,10/24/2018,2.605
55,10/23/2018,2.62
56,10/22/2018,2.68
57,10/19/2018,2.685
58,10/18/2018,2.7016
59,10/17/2018,2.735
60,10/16/2018,2.72335
61,10/15/2018,2.685
62,10/12/2018,2.68835
63,10/11/2018,2.7776
64,10/10/2018,2.8600000000000003
65,10/09/2018,2.855
66,10/08/2018,2.79
67,10/05/2018,2.8049999999999997
68,10/04/2018,2.8200000000000003
69,10/03/2018,2.8600000000000003
70,10/02/2018,2.7800000000000002
71,10/01/2018,2.73015
72,09/28/2018,2.7
73,09/27/2018,2.69505
74,09/26/2018,2.795
75,09/25/2018,2.7800000000000002
76,09/24/2018,2.6950000000000003
77,09/21/2018,2.6340500000000002
78,09/20/2018,2.61
79,09/19/2018,2.56
80,09/18/2018,2.645
81,09/17/2018,2.59
82,09/14/2018,2.5999999999999996
83,09/13/2018,2.6103
84,09/12/2018,2.67
85,09/11/2018,2.60995
86,09/10/2018,2.62005
87,09/07/2018,2.625
88,09/06/2018,2.6550000000000002
89,09/05/2018,2.64
90,09/04/2018,2.7199999999999998
91,08/31/2018,2.6500000000000004
92,08/30/2018,2.625
93,08/29/2018,2.6037
94,08/28/2018,2.535
95,08/27/2018,2.47
96,08/24/2018,2.43
97,08/23/2018,2.415
98,08/22/2018,2.3800499999999998
99,08/21/2018,2.36
100,08/20/2018,2.3449999999999998
101,08/17/2018,2.34735
102,08/16/2018,2.3274999999999997
103,08/15/2018,2.3175
104,08/14/2018,2.36665
105,08/13/2018,2.3619000000000003
106,08/10/2018,2.3754999999999997
107,08/09/2018,2.37
108,08/08/2018,2.37005
109,08/07/2018,2.465
110,08/06/2018,2.49
111,08/03/2018,2.47505
112,08/02/2018,2.4850000000000003
113,08/01/2018,2.5147
114,07/31/2018,2.4924999999999997
115,07/30/2018,2.4000000000000004
116,07/27/2018,2.335
117,07/26/2018,2.3277
118,07/25/2018,2.3001
119,07/24/2018,2.3049999999999997
120,07/23/2018,2.31885
121,07/20/2018,2.2859999999999996
122,07/19/2018,2.295
123,07/18/2018,2.26
124,07/17/2018,2.27995
125,07/16/2018,2.255
126,07/13/2018,2.3125
127,07/12/2018,2.30195
128,07/11/2018,2.36
129,07/10/2018,2.395
130,07/09/2018,2.4000000000000004
131,07/06/2018,2.4450000000000003
132,07/05/2018,2.4621500000000003
133,07/03/2018,2.4
134,07/02/2018,2.3553
135,06/29/2018,2.2874
