,Date,Avg
1,01/10/2019,25.685
2,01/09/2019,25.72
3,01/08/2019,25.79495
4,01/07/2019,25.835
5,01/04/2019,25.71
6,01/03/2019,25.59115
7,01/02/2019,25.435
8,12/31/2018,25.240000000000002
9,12/28/2018,24.96
10,12/27/2018,24.79955
11,12/26/2018,24.810000000000002
12,12/24/2018,24.84
13,12/21/2018,25.015
14,12/20/2018,25.009999999999998
15,12/19/2018,25.075000000000003
16,12/18/2018,25.055
17,12/17/2018,24.97615
18,12/14/2018,25.005000000000003
19,12/13/2018,25.002499999999998
20,12/12/2018,25.12995
21,12/11/2018,25.21495
22,12/10/2018,25.10085
23,12/07/2018,25.11
24,12/06/2018,25.0447
25,12/04/2018,25.225
26,12/03/2018,25.32
27,11/30/2018,25.21005
28,11/29/2018,25.35505
29,11/28/2018,25.26365
30,11/27/2018,25.155
31,11/26/2018,25.189999999999998
32,11/23/2018,25.195
33,11/21/2018,25.20505
34,11/20/2018,25.155
35,11/19/2018,25.218049999999998
36,11/16/2018,25.225
37,11/15/2018,25.240000000000002
38,11/14/2018,25.6355
39,11/13/2018,25.615000000000002
40,11/12/2018,25.6005
41,11/09/2018,25.595
42,11/08/2018,25.64
43,11/07/2018,25.69495
44,11/06/2018,25.6321
45,11/05/2018,25.65
46,11/02/2018,25.65815
47,11/01/2018,25.75
48,10/31/2018,25.77
49,10/30/2018,25.765
50,10/29/2018,25.7451
51,10/26/2018,25.67005
52,10/25/2018,25.7185
53,10/24/2018,25.74495
54,10/23/2018,25.72
55,10/22/2018,25.689999999999998
56,10/19/2018,25.59
57,10/18/2018,25.475
58,10/17/2018,25.37845
59,10/16/2018,25.3834
60,10/15/2018,25.34805
61,10/12/2018,25.34985
62,10/11/2018,25.3
63,10/10/2018,25.175
64,10/09/2018,25.29
65,10/08/2018,25.235
66,10/05/2018,25.265
67,10/04/2018,25.215
68,10/03/2018,25.36
69,10/02/2018,25.58
70,10/01/2018,25.630000000000003
71,09/28/2018,25.73
72,09/27/2018,25.66825
73,09/26/2018,25.742449999999998
74,09/25/2018,25.7571
75,09/24/2018,25.8062
76,09/21/2018,25.795
77,09/20/2018,25.7939
78,09/19/2018,25.81505
79,09/18/2018,25.785
80,09/17/2018,25.82
81,09/14/2018,25.8134
82,09/13/2018,25.915
83,09/12/2018,25.915
84,09/11/2018,25.8251
85,09/10/2018,25.75235
86,09/07/2018,25.7556
87,09/06/2018,25.9328
88,09/05/2018,25.94
89,09/04/2018,26.068150000000003
90,08/31/2018,26.145
91,08/30/2018,26.13495
92,08/29/2018,26.09
93,08/28/2018,26.125
94,08/27/2018,26.1278
95,08/24/2018,26.115000000000002
96,08/23/2018,26.17
97,08/22/2018,26.225
98,08/21/2018,26.215
99,08/20/2018,26.189999999999998
100,08/17/2018,26.105
101,08/16/2018,26.424999999999997
102,08/15/2018,26.425
103,08/14/2018,26.385849999999998
104,08/13/2018,26.314999999999998
105,08/10/2018,26.314999999999998
106,08/09/2018,26.365000000000002
107,08/08/2018,26.385
108,08/07/2018,26.375
109,08/06/2018,26.405
110,08/03/2018,26.435000000000002
111,08/02/2018,26.3899
112,08/01/2018,26.46
113,07/31/2018,26.569899999999997
114,07/30/2018,26.585
115,07/27/2018,26.585
116,07/26/2018,26.57995
117,07/25/2018,26.585
118,07/24/2018,26.585
119,07/23/2018,26.55005
120,07/20/2018,26.564999999999998
121,07/19/2018,26.439999999999998
122,07/18/2018,26.4782
123,07/17/2018,26.560000000000002
124,07/16/2018,26.6077
125,07/13/2018,26.700000000000003
126,07/12/2018,26.8238
127,07/11/2018,26.97
128,07/10/2018,27.0075
129,07/09/2018,26.945
130,07/06/2018,26.84
131,07/05/2018,26.65005
132,07/03/2018,26.655
133,07/02/2018,26.61
134,06/29/2018,26.605
135,06/28/2018,26.5195
136,06/27/2018,26.54
137,06/26/2018,26.515
138,06/25/2018,26.53
139,06/22/2018,26.6
140,06/21/2018,26.5826
141,06/20/2018,26.67
142,06/19/2018,26.695
143,06/18/2018,26.692500000000003
144,06/15/2018,26.5576
145,06/14/2018,26.534999999999997
146,06/13/2018,26.465
147,06/12/2018,26.48
148,06/11/2018,26.465
149,06/08/2018,26.4554
150,06/07/2018,26.4025
151,06/06/2018,26.39
152,06/05/2018,26.28
153,06/04/2018,26.22
154,06/01/2018,26.1657
155,05/31/2018,26.049999999999997
156,05/30/2018,26.0425
157,05/29/2018,26.01995
158,05/25/2018,26.025
159,05/24/2018,25.865000000000002
160,05/23/2018,25.735
161,05/22/2018,25.68
162,05/21/2018,25.715
163,05/18/2018,25.6645
164,05/17/2018,25.705
165,05/16/2018,25.75
166,05/15/2018,26.11005
167,05/14/2018,26.189999999999998
168,05/11/2018,26.125
169,05/10/2018,26.095
170,05/09/2018,26.08
171,05/08/2018,26.115000000000002
172,05/07/2018,26.134
173,05/04/2018,26.075000000000003
174,05/03/2018,26.025750000000002
175,05/02/2018,26.060000000000002
176,05/01/2018,26.03
177,04/30/2018,26.002499999999998
178,04/27/2018,25.9925
179,04/26/2018,25.90505
180,04/25/2018,25.83
181,04/24/2018,25.950049999999997
182,04/23/2018,25.98995
183,04/20/2018,25.985
184,04/19/2018,25.965
185,04/18/2018,25.99005
186,04/17/2018,25.946199999999997
187,04/16/2018,25.935000000000002
188,04/13/2018,25.94
189,04/12/2018,25.95
190,04/11/2018,25.955
191,04/10/2018,26.005
192,04/09/2018,25.985500000000002
193,04/06/2018,25.97
194,04/05/2018,26.020049999999998
195,04/04/2018,25.944850000000002
196,04/03/2018,26.009999999999998
197,04/02/2018,26.08
198,03/29/2018,26.105
199,03/28/2018,26.09535
200,03/27/2018,26.117800000000003
201,03/26/2018,26.083
202,03/23/2018,26.1
203,03/22/2018,26.11
204,03/21/2018,26.095
205,03/20/2018,26.085
206,03/19/2018,26.09
207,03/16/2018,26.14
208,03/15/2018,26.105
209,03/14/2018,26.060000000000002
210,03/13/2018,25.97005
211,03/12/2018,25.979999999999997
212,03/09/2018,26.0268
213,03/08/2018,26.03
214,03/07/2018,26.03
215,03/06/2018,26.08
216,03/05/2018,26.1
217,03/02/2018,26.094500000000004
218,03/01/2018,26.195
219,02/28/2018,26.155
220,02/27/2018,26.145
221,02/26/2018,26.060499999999998
222,02/23/2018,25.884999999999998
223,02/22/2018,25.77505
224,02/21/2018,25.75
225,02/20/2018,25.67
226,02/16/2018,25.5995
227,02/15/2018,25.615000000000002
228,02/14/2018,25.665
229,02/13/2018,25.71605
230,02/12/2018,25.96545
231,02/09/2018,25.78
232,02/08/2018,25.775
233,02/07/2018,25.92
234,02/06/2018,25.83335
235,02/05/2018,25.789099999999998
236,02/02/2018,25.756999999999998
237,02/01/2018,26.115000000000002
238,01/31/2018,26.17
239,01/30/2018,26.134999999999998
240,01/29/2018,26.28
241,01/26/2018,26.375
242,01/25/2018,26.325
243,01/24/2018,26.295
244,01/23/2018,26.28
245,01/22/2018,26.29495
246,01/19/2018,26.35
247,01/18/2018,26.28
248,01/17/2018,26.4025
249,01/16/2018,26.53
250,01/12/2018,26.54495
251,01/11/2018,26.543100000000003
252,01/10/2018,26.47
253,01/09/2018,26.575000000000003
254,01/08/2018,26.613
255,01/05/2018,26.52335
256,01/04/2018,26.51495
257,01/03/2018,26.505000000000003
258,01/02/2018,26.62
259,12/29/2017,26.985
260,12/28/2017,27.095
261,12/27/2017,27.0714
262,12/26/2017,27.1132
