,Date,Avg
1,01/11/2019,20.866500000000002
2,01/10/2019,21.20775
3,01/09/2019,20.82
4,01/08/2019,20.82
5,01/07/2019,20.82
6,01/04/2019,20.82
7,01/03/2019,20.75
8,01/02/2019,20.46
9,12/31/2018,20.63505
10,12/28/2018,20.7545
11,12/27/2018,21.5482
12,12/26/2018,21.5482
13,12/24/2018,21.5482
14,12/21/2018,21.6691
15,12/20/2018,21.3
16,12/19/2018,21.32325
17,12/18/2018,21.48585
18,12/17/2018,20.985
19,12/14/2018,21.943399999999997
20,12/13/2018,22.9437
21,12/12/2018,23.225
22,12/11/2018,23.1995
23,12/10/2018,23.19
24,12/07/2018,22.913899999999998
25,12/06/2018,23.35
26,12/04/2018,22.99175
27,12/03/2018,23.25
28,11/30/2018,23.0
29,11/29/2018,22.880000000000003
30,11/28/2018,22.63505
31,11/27/2018,22.817500000000003
32,11/26/2018,22.7807
33,11/23/2018,22.362000000000002
34,11/21/2018,22.660999999999998
35,11/20/2018,22.9555
36,11/19/2018,22.572650000000003
37,11/16/2018,22.56005
38,11/15/2018,23.0999
39,11/14/2018,22.813850000000002
40,11/13/2018,22.84285
41,11/12/2018,23.0746
42,11/09/2018,22.551
43,11/08/2018,22.88
44,11/07/2018,22.88
45,11/06/2018,23.14
46,11/05/2018,23.205
47,11/02/2018,23.259999999999998
48,11/01/2018,23.91
49,10/31/2018,23.0125
50,10/30/2018,22.8455
51,10/29/2018,21.485
52,10/26/2018,21.75
53,10/25/2018,21.857599999999998
54,10/24/2018,22.8
55,10/23/2018,22.8
56,10/22/2018,23.0
57,10/19/2018,23.355
58,10/18/2018,23.0149
59,10/17/2018,23.125
60,10/16/2018,23.744999999999997
61,10/15/2018,23.61755
62,10/12/2018,23.543100000000003
63,10/11/2018,23.5
64,10/10/2018,23.375
65,10/09/2018,23.5
66,10/08/2018,23.87
67,10/05/2018,23.535
68,10/04/2018,23.835
69,10/03/2018,23.86
70,10/02/2018,23.15
71,10/01/2018,23.005000000000003
72,09/28/2018,23.0
73,09/27/2018,23.3981
74,09/26/2018,23.57
75,09/25/2018,23.57
76,09/24/2018,23.2958
77,09/21/2018,23.5
78,09/20/2018,23.0
79,09/19/2018,22.751350000000002
80,09/18/2018,22.8
81,09/17/2018,22.77
82,09/14/2018,23.0
83,09/13/2018,23.009999999999998
84,09/12/2018,22.87865
85,09/11/2018,22.58925
86,09/10/2018,22.6212
87,09/07/2018,22.8
88,09/06/2018,22.8
89,09/05/2018,22.8
90,09/04/2018,22.385
91,08/31/2018,22.22
92,08/30/2018,22.22
93,08/29/2018,22.22
94,08/28/2018,22.8068
95,08/27/2018,22.22
96,08/24/2018,22.22
97,08/23/2018,22.253349999999998
98,08/22/2018,22.2301
99,08/21/2018,22.2301
100,08/20/2018,22.7922
101,08/17/2018,22.7922
102,08/16/2018,22.735
103,08/15/2018,22.14
104,08/14/2018,22.900199999999998
105,08/13/2018,22.605
106,08/10/2018,22.826
107,08/09/2018,23.392
108,08/08/2018,22.9675
109,08/07/2018,23.32035
110,08/06/2018,23.240000000000002
111,08/03/2018,23.1498
112,08/02/2018,23.575
113,08/01/2018,23.2506
114,07/31/2018,23.0963
115,07/30/2018,22.6
116,07/27/2018,23.201349999999998
117,07/26/2018,22.65
118,07/25/2018,22.64875
119,07/24/2018,22.255
120,07/23/2018,21.8
121,07/20/2018,21.8
122,07/19/2018,21.9
123,07/18/2018,21.80505
124,07/17/2018,21.8
125,07/16/2018,21.8825
126,07/13/2018,21.7432
127,07/12/2018,22.0349
128,07/11/2018,22.0349
129,07/10/2018,21.83
130,07/09/2018,21.83
131,07/06/2018,22.115
132,07/05/2018,22.32345
133,07/03/2018,22.65
134,07/02/2018,22.55375
135,06/29/2018,23.096049999999998
136,06/28/2018,23.55525
137,06/27/2018,23.87455
138,06/26/2018,23.5848
139,06/25/2018,24.617600000000003
140,06/22/2018,24.505
141,06/21/2018,25.091250000000002
142,06/20/2018,24.515
