,Date,Avg
1,01/11/2019,35.52005
2,01/10/2019,35.275000000000006
3,01/09/2019,36.43245
4,01/08/2019,35.16
5,01/07/2019,34.655
6,01/04/2019,33.724999999999994
7,01/03/2019,32.41
8,01/02/2019,31.985
9,12/31/2018,31.455
10,12/28/2018,31.455
11,12/27/2018,30.66
12,12/26/2018,29.92
13,12/24/2018,29.27
14,12/21/2018,30.994999999999997
15,12/20/2018,31.402500000000003
16,12/19/2018,31.87
17,12/18/2018,31.695
18,12/17/2018,31.785
19,12/14/2018,33.185
20,12/13/2018,33.894999999999996
21,12/12/2018,34.975
22,12/11/2018,35.851749999999996
23,12/10/2018,36.485
24,12/07/2018,40.34
25,12/06/2018,41.305
26,12/04/2018,51.61
27,12/03/2018,52.925
28,11/30/2018,52.055
29,11/29/2018,51.97
30,11/28/2018,50.790000000000006
31,11/27/2018,52.480000000000004
32,11/26/2018,52.585
33,11/23/2018,52.18
34,11/21/2018,52.265
35,11/20/2018,51.72
36,11/19/2018,55.230000000000004
37,11/16/2018,56.019999999999996
38,11/15/2018,54.9475
39,11/14/2018,56.8642
40,11/13/2018,56.186
41,11/12/2018,55.8
42,11/09/2018,58.2625
43,11/08/2018,59.91245
44,11/07/2018,60.805
45,11/06/2018,60.945
46,11/05/2018,59.145
47,11/02/2018,58.415
48,11/01/2018,56.14
49,10/31/2018,57.745000000000005
50,10/30/2018,56.31999999999999
51,10/29/2018,52.815
52,10/26/2018,50.215
53,10/25/2018,51.4
54,10/24/2018,51.644999999999996
55,10/23/2018,52.0525
56,10/22/2018,53.57
57,10/19/2018,55.129999999999995
58,10/18/2018,56.545
59,10/17/2018,57.765
60,10/16/2018,57.665000000000006
61,10/15/2018,58.18
62,10/12/2018,59.07585
63,10/11/2018,60.4875
64,10/10/2018,60.665
65,10/09/2018,61.78415
66,10/08/2018,62.230000000000004
67,10/05/2018,62.585
68,10/04/2018,62.91
69,10/03/2018,63.075
70,10/02/2018,64.12
71,10/01/2018,65.56575000000001
72,09/28/2018,66.07
73,09/27/2018,65.9025
74,09/26/2018,65.5
75,09/25/2018,64.87
76,09/24/2018,65.06
77,09/21/2018,67.275
78,09/20/2018,67.065
79,09/19/2018,67.1525
80,09/18/2018,67.5775
81,09/17/2018,66.475
82,09/14/2018,65.045
83,09/13/2018,64.765
84,09/12/2018,65.02
85,09/11/2018,64.655
86,09/10/2018,63.85
87,09/07/2018,63.66
88,09/06/2018,63.565
89,09/05/2018,62.725
90,09/04/2018,62.960049999999995
91,08/31/2018,66.61500000000001
92,08/30/2018,66.285
93,08/29/2018,54.71
94,08/28/2018,57.01
95,08/27/2018,60.205
96,08/24/2018,62.345
97,08/23/2018,62.83
98,08/22/2018,64.115
99,08/21/2018,63.650000000000006
100,08/20/2018,63.115
101,08/17/2018,61.695
102,08/16/2018,61.02
103,08/15/2018,61.099999999999994
104,08/14/2018,61.41
105,08/13/2018,59.745000000000005
106,08/10/2018,59.375
107,08/09/2018,59.515
108,08/08/2018,59.955
109,08/07/2018,59.3275
110,08/06/2018,59.0
111,08/03/2018,59.045
112,08/02/2018,58.405
113,08/01/2018,57.925
114,07/31/2018,58.45
115,07/30/2018,61.9025
116,07/27/2018,60.75
117,07/26/2018,60.105000000000004
118,07/25/2018,59.745000000000005
119,07/24/2018,59.995000000000005
120,07/23/2018,60.3258
121,07/20/2018,60.620000000000005
122,07/19/2018,59.705
123,07/18/2018,58.928700000000006
124,07/17/2018,58.47
125,07/16/2018,58.135
126,07/13/2018,59.05
127,07/12/2018,60.004999999999995
128,07/11/2018,59.6646
129,07/10/2018,59.825
130,07/09/2018,59.75995
131,07/06/2018,58.785
132,07/05/2018,57.055
133,07/03/2018,56.58
134,07/02/2018,56.0705
135,06/29/2018,57.114999999999995
136,06/28/2018,57.42
137,06/27/2018,58.135
138,06/26/2018,57.3675
139,06/25/2018,57.815
140,06/22/2018,58.04
141,06/21/2018,59.62
142,06/20/2018,58.745000000000005
143,06/19/2018,57.394999999999996
144,06/18/2018,56.614999999999995
145,06/15/2018,55.9925
146,06/14/2018,55.675
147,06/13/2018,57.79
148,06/12/2018,57.394999999999996
149,06/11/2018,56.3125
150,06/08/2018,54.705
151,06/07/2018,53.28
152,06/06/2018,52.67
153,06/05/2018,44.025000000000006
154,06/04/2018,43.254999999999995
155,06/01/2018,42.305
156,05/31/2018,42.72
157,05/30/2018,43.13
158,05/29/2018,42.010000000000005
159,05/25/2018,42.41
160,05/24/2018,41.85
161,05/23/2018,40.9275
162,05/22/2018,39.605000000000004
163,05/21/2018,40.135000000000005
164,05/18/2018,39.425
165,05/17/2018,39.125
166,05/16/2018,38.825
167,05/15/2018,38.25
168,05/14/2018,38.68
169,05/11/2018,38.125
170,05/10/2018,38.305
171,05/09/2018,37.685
172,05/08/2018,37.2
173,05/07/2018,37.15
174,05/04/2018,37.64
175,05/03/2018,37.34
176,05/02/2018,38.385000000000005
177,05/01/2018,38.269999999999996
178,04/30/2018,39.86
179,04/27/2018,40.59
180,04/26/2018,40.16
181,04/25/2018,39.715
182,04/24/2018,39.34
183,04/23/2018,39.1905
184,04/20/2018,38.545
185,04/19/2018,38.935
186,04/18/2018,40.15
187,04/17/2018,39.635
188,04/16/2018,39.18299999999999
189,04/13/2018,38.995000000000005
190,04/12/2018,38.415000000000006
191,04/11/2018,37.894999999999996
192,04/10/2018,38.175
193,04/09/2018,37.95
194,04/06/2018,37.379999999999995
195,04/05/2018,37.0475
196,04/04/2018,36.0
197,04/03/2018,34.535
198,04/02/2018,37.185
199,03/29/2018,38.602999999999994
200,03/28/2018,37.975
201,03/27/2018,38.260000000000005
202,03/26/2018,38.535
203,03/23/2018,39.45
204,03/22/2018,39.725
205,03/21/2018,39.28
206,03/20/2018,38.57
207,03/19/2018,39.114999999999995
208,03/16/2018,38.305
209,03/15/2018,38.50255
210,03/14/2018,40.975
211,03/13/2018,48.56
212,03/12/2018,47.855000000000004
213,03/09/2018,48.8425
214,03/08/2018,48.495000000000005
215,03/07/2018,48.885000000000005
216,03/06/2018,49.76
217,03/05/2018,50.8475
218,03/02/2018,50.46
219,03/01/2018,50.735
220,02/28/2018,51.03
221,02/27/2018,51.9375
222,02/26/2018,51.97
223,02/23/2018,51.985
224,02/22/2018,50.629999999999995
225,02/21/2018,50.185
226,02/20/2018,50.165
227,02/16/2018,51.915000000000006
228,02/15/2018,51.370000000000005
229,02/14/2018,50.295
230,02/13/2018,48.985
231,02/12/2018,48.2825
232,02/09/2018,48.625
233,02/08/2018,50.325
234,02/07/2018,50.260000000000005
235,02/06/2018,48.825
236,02/05/2018,50.21
237,02/02/2018,51.662499999999994
238,02/01/2018,52.755
239,01/31/2018,53.1636
240,01/30/2018,53.71
241,01/29/2018,54.535
242,01/26/2018,54.99550000000001
243,01/25/2018,55.155
244,01/24/2018,57.22
245,01/23/2018,56.504999999999995
246,01/22/2018,55.03
247,01/19/2018,55.335
248,01/18/2018,55.94
249,01/17/2018,56.6225
250,01/16/2018,57.010000000000005
251,01/12/2018,55.935
252,01/11/2018,54.335
253,01/10/2018,54.31
254,01/09/2018,57.2258
255,01/08/2018,58.135000000000005
256,01/05/2018,56.365
257,01/04/2018,55.345
258,01/03/2018,54.775000000000006
259,01/02/2018,56.545
260,12/29/2017,57.46
261,12/28/2017,56.045
262,12/27/2017,57.11
263,12/26/2017,57.985
264,12/22/2017,55.754999999999995
265,12/21/2017,55.182500000000005
266,12/20/2017,53.785
267,12/19/2017,54.2315
268,12/18/2017,54.364999999999995
269,12/15/2017,54.075
270,12/14/2017,53.864999999999995
271,12/13/2017,53.8025
272,12/12/2017,53.269999999999996
273,12/11/2017,52.7875
274,12/08/2017,52.345
275,12/07/2017,51.84
