,Date,Avg
1,01/11/2019,2.66
2,01/10/2019,2.575
3,01/09/2019,2.4742499999999996
4,01/08/2019,2.415
5,01/07/2019,2.4050000000000002
6,01/04/2019,2.39
7,01/03/2019,2.29335
8,01/02/2019,2.2800000000000002
9,12/31/2018,2.135
10,12/28/2018,2.0700000000000003
11,12/27/2018,2.0774
12,12/26/2018,2.08
13,12/24/2018,2.01
14,12/21/2018,2.1975
15,12/20/2018,2.3429
16,12/19/2018,2.5
17,12/18/2018,2.48
18,12/17/2018,2.7
19,12/14/2018,2.76
20,12/13/2018,2.825
21,12/12/2018,2.9299999999999997
22,12/11/2018,2.85
23,12/10/2018,2.785
24,12/07/2018,3.0149999999999997
25,12/06/2018,2.95
26,12/04/2018,3.1799999999999997
27,12/03/2018,3.3041
28,11/30/2018,3.24
29,11/29/2018,3.43
30,11/28/2018,3.31445
31,11/27/2018,3.38
32,11/26/2018,3.3499999999999996
33,11/23/2018,3.3550000000000004
34,11/21/2018,3.46
35,11/20/2018,3.3720499999999998
36,11/19/2018,3.465
37,11/16/2018,3.455
38,11/15/2018,3.6025
39,11/14/2018,3.33
40,11/13/2018,3.065
41,11/12/2018,3.0700000000000003
42,11/09/2018,3.2024999999999997
43,11/08/2018,3.54
44,11/07/2018,2.81
45,11/06/2018,2.8449999999999998
46,11/05/2018,3.04
47,11/02/2018,3.045
48,11/01/2018,2.84575
49,10/31/2018,2.70205
50,10/30/2018,2.675
51,10/29/2018,2.735
52,10/26/2018,2.665
53,10/25/2018,2.665
54,10/24/2018,2.7925
55,10/23/2018,2.81
56,10/22/2018,2.9349999999999996
57,10/19/2018,3.0225
58,10/18/2018,3.1849999999999996
59,10/17/2018,3.1550000000000002
60,10/16/2018,3.885
61,10/15/2018,3.8899999999999997
62,10/12/2018,3.95
63,10/11/2018,4.1525
64,10/10/2018,4.335
65,10/09/2018,4.4
66,10/08/2018,4.315
67,10/05/2018,4.29
68,10/04/2018,4.4
69,10/03/2018,4.445
70,10/02/2018,4.42
71,10/01/2018,4.29
72,09/28/2018,4.18
73,09/27/2018,4.36
74,09/26/2018,4.7225
75,09/25/2018,4.9875
76,09/24/2018,4.9836
77,09/21/2018,4.96
78,09/20/2018,4.9679
79,09/19/2018,4.93
80,09/18/2018,4.87
81,09/17/2018,4.885
82,09/14/2018,4.835000000000001
83,09/13/2018,4.73265
84,09/12/2018,4.78025
85,09/11/2018,4.625
86,09/10/2018,4.697
87,09/07/2018,4.661
88,09/06/2018,4.94875
89,09/05/2018,5.0416
90,09/04/2018,5.055
91,08/31/2018,4.965
92,08/30/2018,4.9345
93,08/29/2018,5.077
94,08/28/2018,5.18
95,08/27/2018,5.40565
96,08/24/2018,5.295
97,08/23/2018,5.199999999999999
98,08/22/2018,5.145
99,08/21/2018,5.1899
100,08/20/2018,5.300000000000001
101,08/17/2018,5.275
102,08/16/2018,5.3
103,08/15/2018,5.339
104,08/14/2018,5.67
105,08/13/2018,5.797
106,08/10/2018,5.798500000000001
107,08/09/2018,5.82
108,08/08/2018,5.29
109,08/07/2018,5.45
110,08/06/2018,5.525
111,08/03/2018,5.630000000000001
112,08/02/2018,5.72
113,08/01/2018,5.66
114,07/31/2018,5.65
115,07/30/2018,5.775
116,07/27/2018,5.807499999999999
117,07/26/2018,5.595
118,07/25/2018,5.32
119,07/24/2018,5.17
120,07/23/2018,5.15
121,07/20/2018,5.285
122,07/19/2018,5.495
123,07/18/2018,5.470000000000001
124,07/17/2018,5.465
125,07/16/2018,5.4275
126,07/13/2018,5.49
127,07/12/2018,5.285
128,07/11/2018,5.4399999999999995
129,07/10/2018,5.74765
130,07/09/2018,5.5875
131,07/06/2018,5.345000000000001
132,07/05/2018,5.46
133,07/03/2018,5.41
134,07/02/2018,5.17
135,06/29/2018,5.12
136,06/28/2018,5.0
137,06/27/2018,5.2245
138,06/26/2018,5.305
139,06/25/2018,5.73
140,06/22/2018,6.005000000000001
141,06/21/2018,5.98
142,06/20/2018,6.0141
143,06/19/2018,5.8
144,06/18/2018,5.705
145,06/15/2018,5.67
146,06/14/2018,5.84
147,06/13/2018,5.83
148,06/12/2018,5.755
149,06/11/2018,5.725
150,06/08/2018,5.82495
151,06/07/2018,5.949999999999999
152,06/06/2018,5.885
153,06/05/2018,5.85
154,06/04/2018,5.95185
155,06/01/2018,6.0649999999999995
156,05/31/2018,6.21
157,05/30/2018,6.220000000000001
158,05/29/2018,6.060700000000001
159,05/25/2018,5.995
160,05/24/2018,6.455
161,05/23/2018,6.5600000000000005
162,05/22/2018,6.87995
163,05/21/2018,6.7965
164,05/18/2018,6.975
165,05/17/2018,7.07
166,05/16/2018,6.83
167,05/15/2018,6.565
168,05/14/2018,6.445
169,05/11/2018,6.475
170,05/10/2018,6.585
171,05/09/2018,7.95
172,05/08/2018,7.5649999999999995
173,05/07/2018,7.59815
174,05/04/2018,7.345
