,Date,Avg
1,01/11/2019,30.25
2,01/10/2019,30.48
3,01/09/2019,30.41525
4,01/08/2019,30.246
5,01/07/2019,29.965
6,01/04/2019,29.939999999999998
7,01/03/2019,29.907
8,01/02/2019,30.32745
9,12/31/2018,29.645
10,12/28/2018,30.25
11,12/27/2018,29.57
12,12/26/2018,29.7589
13,12/24/2018,30.04
14,12/21/2018,30.34
15,12/20/2018,29.880000000000003
16,12/19/2018,31.025
17,12/18/2018,31.045
18,12/17/2018,30.145
19,12/14/2018,30.216050000000003
20,12/13/2018,30.085
21,12/12/2018,30.119999999999997
22,12/11/2018,30.417749999999998
23,12/10/2018,30.130000000000003
24,12/07/2018,29.950049999999997
25,12/06/2018,29.799999999999997
26,12/04/2018,30.665
27,12/03/2018,30.215
28,11/30/2018,30.685000000000002
29,11/29/2018,30.96775
30,11/28/2018,30.715
31,11/27/2018,30.17345
32,11/26/2018,30.31745
33,11/23/2018,30.424999999999997
34,11/21/2018,30.009999999999998
35,11/20/2018,29.0
36,11/19/2018,29.29
37,11/16/2018,29.305
38,11/15/2018,29.622349999999997
39,11/14/2018,29.412
40,11/13/2018,30.01375
41,11/12/2018,29.33
42,11/09/2018,28.77
43,11/08/2018,28.982599999999998
44,11/07/2018,29.17
45,11/06/2018,29.490000000000002
46,11/05/2018,29.495
47,11/02/2018,29.94875
48,11/01/2018,30.0235
49,10/31/2018,29.894750000000002
50,10/30/2018,30.42685
51,10/29/2018,29.729499999999998
52,10/26/2018,29.5975
53,10/25/2018,29.7175
54,10/24/2018,29.16495
55,10/23/2018,29.685000000000002
56,10/22/2018,30.37945
57,10/19/2018,30.83
58,10/18/2018,30.25
59,10/17/2018,30.375
60,10/16/2018,30.6115
61,10/15/2018,30.265
62,10/12/2018,30.6375
63,10/11/2018,30.485
64,10/10/2018,31.88855
65,10/09/2018,30.95
66,10/08/2018,31.937600000000003
67,10/05/2018,31.027
68,10/04/2018,31.73285
69,10/03/2018,31.213
70,10/02/2018,31.28
71,10/01/2018,31.42
