,Date,Avg
1,01/11/2019,1.995
2,01/10/2019,2.005
3,01/09/2019,2.0175
4,01/08/2019,2.04
5,01/07/2019,2.0125
6,01/04/2019,1.9849999999999999
7,01/03/2019,1.925
8,01/02/2019,1.825
9,12/31/2018,1.775
10,12/28/2018,1.855
11,12/27/2018,1.7974999999999999
12,12/26/2018,1.76125
13,12/24/2018,1.705
14,12/21/2018,1.655
15,12/20/2018,1.6400000000000001
16,12/19/2018,1.705
17,12/18/2018,1.7149999999999999
18,12/17/2018,1.815
19,12/14/2018,1.95125
20,12/13/2018,2.08
21,12/12/2018,2.07
22,12/11/2018,2.08
23,12/10/2018,2.025
24,12/07/2018,2.025
25,12/06/2018,1.955
26,12/04/2018,2.045
27,12/03/2018,2.105
28,11/30/2018,2.025
29,11/29/2018,2.12495
30,11/28/2018,2.0524999999999998
31,11/27/2018,1.94
32,11/26/2018,1.835
33,11/23/2018,1.6949999999999998
34,11/21/2018,1.6475
35,11/20/2018,1.6625
36,11/19/2018,1.755
37,11/16/2018,1.775
38,11/15/2018,1.77
39,11/14/2018,1.78
40,11/13/2018,1.8
41,11/12/2018,1.88495
42,11/09/2018,1.9249999999999998
43,11/08/2018,2.005
44,11/07/2018,2.045
45,11/06/2018,2.05
46,11/05/2018,2.015
47,11/02/2018,1.9649999999999999
48,11/01/2018,1.845
49,10/31/2018,1.76
50,10/30/2018,1.6099999999999999
51,10/29/2018,1.6525
52,10/26/2018,1.6025
53,10/25/2018,1.54
54,10/24/2018,1.635
55,10/23/2018,1.635
56,10/22/2018,1.73
57,10/19/2018,1.76
58,10/18/2018,1.77
59,10/17/2018,1.83
60,10/16/2018,1.8
61,10/15/2018,1.78
62,10/12/2018,1.79
63,10/11/2018,1.8125
64,10/10/2018,1.88
65,10/09/2018,2.1
66,10/08/2018,2.11
67,10/05/2018,2.1100000000000003
68,10/04/2018,2.125
69,10/03/2018,2.08
70,10/02/2018,2.0
71,10/01/2018,2.0575
72,09/28/2018,1.9749999999999999
73,09/27/2018,1.9729999999999999
74,09/26/2018,2.005
75,09/25/2018,2.0975
76,09/24/2018,2.055
77,09/21/2018,2.035
78,09/20/2018,2.005
79,09/19/2018,1.9249999999999998
80,09/18/2018,1.88
81,09/17/2018,1.87
82,09/14/2018,1.8900000000000001
83,09/13/2018,1.8875
84,09/12/2018,1.94
85,09/11/2018,1.93
86,09/10/2018,1.8675
87,09/07/2018,1.835
88,09/06/2018,1.8795000000000002
89,09/05/2018,1.9236499999999999
90,09/04/2018,1.935
91,08/31/2018,1.9449999999999998
92,08/30/2018,1.96
93,08/29/2018,1.995
94,08/28/2018,2.01
95,08/27/2018,2.0075000000000003
96,08/24/2018,2.02
97,08/23/2018,2.005
98,08/22/2018,1.9975
99,08/21/2018,2.05
100,08/20/2018,1.965
101,08/17/2018,1.9649999999999999
102,08/16/2018,1.9899999999999998
103,08/15/2018,2.0700000000000003
104,08/14/2018,2.135
105,08/13/2018,2.115
106,08/10/2018,2.1550000000000002
107,08/09/2018,2.125
108,08/08/2018,2.15
109,08/07/2018,2.1425
110,08/06/2018,2.1175
111,08/03/2018,2.1719
112,08/02/2018,2.105
113,08/01/2018,2.105
114,07/31/2018,2.13
115,07/30/2018,2.19
116,07/27/2018,2.3095
117,07/26/2018,2.335
118,07/25/2018,2.2775
119,07/24/2018,2.29
120,07/23/2018,2.315
121,07/20/2018,2.365
122,07/19/2018,2.375
123,07/18/2018,2.385
124,07/17/2018,2.42
125,07/16/2018,2.5525
126,07/13/2018,2.65
127,07/12/2018,2.76
128,07/11/2018,2.8449999999999998
129,07/10/2018,2.9050000000000002
130,07/09/2018,2.865
131,07/06/2018,2.8175
132,07/05/2018,2.875
133,07/03/2018,2.825
134,07/02/2018,2.8025
135,06/29/2018,2.8449999999999998
136,06/28/2018,2.91
137,06/27/2018,3.0125
138,06/26/2018,2.965
139,06/25/2018,2.965
140,06/22/2018,2.9850000000000003
141,06/21/2018,2.9299999999999997
142,06/20/2018,3.0025
143,06/19/2018,2.8550000000000004
144,06/18/2018,2.775
145,06/15/2018,2.79
146,06/14/2018,2.835
147,06/13/2018,2.875
148,06/12/2018,2.9749999999999996
149,06/11/2018,2.9749999999999996
150,06/08/2018,3.0425
151,06/07/2018,3.06
152,06/06/2018,3.115
153,06/05/2018,3.15
154,06/04/2018,3.025
155,06/01/2018,2.8925
156,05/31/2018,2.8975
157,05/30/2018,2.8499999999999996
158,05/29/2018,2.79
159,05/25/2018,2.7625
160,05/24/2018,2.7649999999999997
161,05/23/2018,2.8
162,05/22/2018,2.8449999999999998
163,05/21/2018,2.84
164,05/18/2018,2.825
165,05/17/2018,2.785
166,05/16/2018,2.7649999999999997
167,05/15/2018,2.835
168,05/14/2018,2.85
169,05/11/2018,2.8499999999999996
170,05/10/2018,2.8899999999999997
171,05/09/2018,2.855
172,05/08/2018,2.755
173,05/07/2018,2.79
174,05/04/2018,2.7725
175,05/03/2018,2.6799999999999997
176,05/02/2018,2.685
177,05/01/2018,2.6325000000000003
178,04/30/2018,2.68
179,04/27/2018,2.685
180,04/26/2018,2.65625
181,04/25/2018,2.6100000000000003
182,04/24/2018,2.375
183,04/23/2018,2.3600000000000003
184,04/20/2018,2.38
185,04/19/2018,2.355
186,04/18/2018,2.3825000000000003
187,04/17/2018,2.38
188,04/16/2018,2.3449999999999998
189,04/13/2018,2.3449999999999998
190,04/12/2018,2.3175
191,04/11/2018,2.175
192,04/10/2018,1.9849999999999999
193,04/09/2018,1.9
194,04/06/2018,1.9100000000000001
195,04/05/2018,1.92
196,04/04/2018,1.9049999999999998
197,04/03/2018,1.91
198,04/02/2018,1.935
199,03/29/2018,1.9649999999999999
200,03/28/2018,1.97
201,03/27/2018,2.04615
202,03/26/2018,2.045
203,03/23/2018,2.05
204,03/22/2018,2.13
205,03/21/2018,2.12
206,03/20/2018,2.125
207,03/19/2018,2.165
208,03/16/2018,2.215
209,03/15/2018,2.2126
210,03/14/2018,2.215
211,03/13/2018,2.2437
212,03/12/2018,2.23
