,Date,Avg
1,01/11/2019,9.52
2,01/10/2019,9.399999999999999
3,01/09/2019,9.165
4,01/08/2019,8.845
5,01/07/2019,8.995
6,01/04/2019,8.64
7,01/03/2019,8.395
8,01/02/2019,8.57005
9,12/31/2018,8.485
10,12/28/2018,8.15
11,12/27/2018,7.665
12,12/26/2018,7.205
13,12/24/2018,7.45885
14,12/21/2018,7.57
15,12/20/2018,7.83
16,12/19/2018,8.065
17,12/18/2018,8.0975
18,12/17/2018,8.2875
19,12/14/2018,8.629999999999999
20,12/13/2018,8.824950000000001
21,12/12/2018,8.989999999999998
22,12/11/2018,9.015
23,12/10/2018,8.7955
24,12/07/2018,9.035
25,12/06/2018,8.7675
26,12/04/2018,8.95
27,12/03/2018,9.07
28,11/30/2018,8.52905
29,11/29/2018,8.67
30,11/28/2018,8.3473
31,11/27/2018,8.52
32,11/26/2018,8.889949999999999
33,11/23/2018,8.955
34,11/21/2018,8.955
35,11/20/2018,8.809999999999999
36,11/19/2018,8.9774
37,11/16/2018,8.6155
38,11/15/2018,8.25
39,11/14/2018,7.925
40,11/13/2018,8.01
41,11/12/2018,8.22285
42,11/09/2018,8.2955
43,11/08/2018,8.59
44,11/07/2018,8.7375
45,11/06/2018,8.83
46,11/05/2018,8.915
47,11/02/2018,9.0
48,11/01/2018,8.74
49,10/31/2018,8.09
50,10/30/2018,8.19105
51,10/29/2018,8.05
52,10/26/2018,7.82
53,10/25/2018,7.5
54,10/24/2018,7.14
55,10/23/2018,6.92
56,10/22/2018,7.140000000000001
57,10/19/2018,7.220000000000001
58,10/18/2018,7.08
59,10/17/2018,7.22185
60,10/16/2018,7.46
61,10/15/2018,7.3100000000000005
62,10/12/2018,7.1775
63,10/11/2018,6.654999999999999
64,10/10/2018,6.93
65,10/09/2018,7.11775
66,10/08/2018,7.53
67,10/05/2018,7.63
68,10/04/2018,7.85
69,10/03/2018,8.58
70,10/02/2018,8.405000000000001
71,10/01/2018,7.81
72,09/28/2018,7.875
73,09/27/2018,8.6675
74,09/26/2018,9.275
75,09/25/2018,8.5875
76,09/24/2018,8.975
77,09/21/2018,9.215
78,09/20/2018,8.93
79,09/19/2018,7.800000000000001
80,09/18/2018,7.465
81,09/17/2018,7.22
82,09/14/2018,6.890000000000001
83,09/13/2018,7.29
84,09/12/2018,7.37
85,09/11/2018,7.23
86,09/10/2018,7.67
87,09/07/2018,7.9918
88,09/06/2018,7.5600000000000005
89,09/05/2018,6.7775
90,09/04/2018,6.35
91,08/31/2018,6.055
92,08/30/2018,5.21
93,08/29/2018,5.9175
94,08/28/2018,5.8605
95,08/27/2018,6.18
96,08/24/2018,6.977449999999999
97,08/23/2018,9.25
98,08/22/2018,9.045000000000002
99,08/21/2018,9.0
100,08/20/2018,9.1
101,08/17/2018,9.524999999999999
102,08/16/2018,10.254999999999999
103,08/15/2018,10.0
104,08/14/2018,10.325
105,08/13/2018,10.365
106,08/10/2018,11.01
107,08/09/2018,11.67
108,08/08/2018,12.09
109,08/07/2018,12.84
110,08/06/2018,13.23
111,08/03/2018,13.39
112,08/02/2018,13.350000000000001
113,08/01/2018,13.4
114,07/31/2018,13.425
115,07/30/2018,13.370000000000001
116,07/27/2018,13.485
117,07/26/2018,13.059999999999999
118,07/25/2018,12.435
119,07/24/2018,11.7025
120,07/23/2018,11.29
121,07/20/2018,11.4
122,07/19/2018,11.3595
123,07/18/2018,11.52
124,07/17/2018,11.575
125,07/16/2018,11.7783
126,07/13/2018,12.02
127,07/12/2018,12.695
128,07/11/2018,12.67
129,07/10/2018,13.035
130,07/09/2018,13.158999999999999
131,07/06/2018,13.004999999999999
132,07/05/2018,12.74
133,07/03/2018,11.78825
134,07/02/2018,10.655000000000001
135,06/29/2018,10.445
136,06/28/2018,10.600000000000001
137,06/27/2018,11.12695
138,06/26/2018,12.355
139,06/25/2018,13.095
140,06/22/2018,14.565000000000001
141,06/21/2018,15.225
142,06/20/2018,14.06
143,06/19/2018,13.5155
144,06/18/2018,13.72635
145,06/15/2018,14.73
146,06/14/2018,15.855
147,06/13/2018,17.509999999999998
148,06/12/2018,18.66
149,06/11/2018,19.4875
150,06/08/2018,19.4
151,06/07/2018,18.88
152,06/06/2018,19.37
153,06/05/2018,18.705
154,06/04/2018,17.4544
155,06/01/2018,17.125
156,05/31/2018,16.9925
157,05/30/2018,16.825
158,05/29/2018,17.0025
159,05/25/2018,17.59
160,05/24/2018,18.13
161,05/23/2018,18.435000000000002
162,05/22/2018,19.525
163,05/21/2018,20.52
164,05/18/2018,20.869999999999997
165,05/17/2018,20.5
166,05/16/2018,20.395
167,05/15/2018,19.895
168,05/14/2018,19.87
169,05/11/2018,22.18995
170,05/10/2018,22.98
171,05/09/2018,22.345
172,05/08/2018,20.195
173,05/07/2018,22.41
174,05/04/2018,23.91
175,05/03/2018,24.085
176,05/02/2018,25.840000000000003
177,05/01/2018,27.16
178,04/30/2018,28.02
179,04/27/2018,27.23
180,04/26/2018,26.965000000000003
181,04/25/2018,27.515
182,04/24/2018,28.52
183,04/23/2018,28.765
184,04/20/2018,28.4775
185,04/19/2018,29.33
186,04/18/2018,30.04
187,04/17/2018,30.09
188,04/16/2018,30.475
189,04/13/2018,30.72
190,04/12/2018,30.84
191,04/11/2018,30.682499999999997
192,04/10/2018,30.814999999999998
193,04/09/2018,30.57
194,04/06/2018,30.775
195,04/05/2018,31.08
196,04/04/2018,31.0937
197,04/03/2018,30.7975
198,04/02/2018,30.1355
199,03/29/2018,30.395
200,03/28/2018,30.39
201,03/27/2018,30.585
202,03/26/2018,30.68
203,03/23/2018,29.755
204,03/22/2018,30.075
205,03/21/2018,30.3
206,03/20/2018,29.740000000000002
207,03/19/2018,29.990000000000002
208,03/16/2018,31.025
209,03/15/2018,30.655
210,03/14/2018,30.509999999999998
211,03/13/2018,30.15
212,03/12/2018,29.955
213,03/09/2018,29.205
214,03/08/2018,28.48005
215,03/07/2018,29.1725
216,03/06/2018,29.744999999999997
217,03/05/2018,29.2425
218,03/02/2018,30.105
219,03/01/2018,30.2725
220,02/28/2018,30.817500000000003
221,02/27/2018,30.7949
222,02/26/2018,31.705000000000002
223,02/23/2018,31.845
224,02/22/2018,32.29
225,02/21/2018,32.07
226,02/20/2018,32.64675
227,02/16/2018,32.145
228,02/15/2018,31.885
229,02/14/2018,30.27
230,02/13/2018,29.97
231,02/12/2018,29.615000000000002
232,02/09/2018,28.375
233,02/08/2018,29.14
234,02/07/2018,30.162
235,02/06/2018,28.96
236,02/05/2018,29.45
237,02/02/2018,30.884999999999998
238,02/01/2018,32.05
239,01/31/2018,31.455
240,01/30/2018,30.37
241,01/29/2018,31.07
242,01/26/2018,32.394999999999996
243,01/25/2018,32.335
244,01/24/2018,32.925
245,01/23/2018,32.87
246,01/22/2018,32.67
247,01/19/2018,32.97
248,01/18/2018,33.010000000000005
249,01/17/2018,32.92
250,01/16/2018,32.685
251,01/12/2018,31.21
252,01/11/2018,30.30775
253,01/10/2018,29.6475
254,01/09/2018,29.619999999999997
255,01/08/2018,29.740000000000002
256,01/05/2018,30.189999999999998
257,01/04/2018,30.105
258,01/03/2018,30.134999999999998
259,01/02/2018,29.71725
260,12/29/2017,29.21
261,12/28/2017,30.0275
262,12/27/2017,29.689999999999998
263,12/26/2017,29.7134
264,12/22/2017,29.94
265,12/21/2017,30.09
266,12/20/2017,30.009999999999998
267,12/19/2017,28.93
268,12/18/2017,28.475
269,12/15/2017,28.915
270,12/14/2017,29.060000000000002
271,12/13/2017,29.715000000000003
272,12/12/2017,29.1
273,12/11/2017,28.465
274,12/08/2017,28.255
275,12/07/2017,27.512349999999998
276,12/06/2017,26.7895
277,12/05/2017,26.455
278,12/04/2017,26.75
279,12/01/2017,26.39
280,11/30/2017,26.36
281,11/29/2017,26.655
282,11/28/2017,27.0675
283,11/27/2017,27.554499999999997
284,11/24/2017,27.665
285,11/22/2017,26.814999999999998
286,11/21/2017,26.1625
287,11/20/2017,24.985
288,11/17/2017,24.72
289,11/16/2017,24.955
290,11/15/2017,23.509999999999998
291,11/14/2017,24.185000000000002
