,Date,Avg
1,01/10/2019,9.89
2,01/09/2019,9.85
3,01/08/2019,9.84
4,01/07/2019,9.83
5,01/04/2019,9.85
6,01/03/2019,9.85
7,01/02/2019,9.85
8,12/31/2018,9.895
9,12/28/2018,9.844999999999999
10,12/27/2018,9.82
11,12/26/2018,9.82
12,12/24/2018,9.82
13,12/21/2018,9.82
14,12/20/2018,9.82
15,12/19/2018,9.82
16,12/18/2018,9.82
17,12/17/2018,9.9
18,12/14/2018,9.83
19,12/13/2018,9.83
20,12/12/2018,9.83
21,12/11/2018,9.8071
22,12/10/2018,9.85
23,12/07/2018,9.835
24,12/06/2018,9.865
25,12/04/2018,9.85
26,12/03/2018,9.85
27,11/30/2018,9.835
28,11/29/2018,9.82
29,11/28/2018,9.8
30,11/27/2018,9.8
31,11/26/2018,9.785
32,11/23/2018,9.72
33,11/21/2018,9.76
34,11/20/2018,9.79
35,11/19/2018,9.76
36,11/16/2018,9.7
37,11/15/2018,9.719999999999999
38,11/14/2018,9.735
39,11/13/2018,9.75
40,11/12/2018,9.74
41,11/09/2018,9.74
42,11/08/2018,9.69
43,11/07/2018,9.77
44,11/06/2018,9.73
45,11/05/2018,9.74
46,11/02/2018,9.725000000000001
47,11/01/2018,9.715
48,10/31/2018,9.690000000000001
49,10/30/2018,9.7
50,10/29/2018,9.705
51,10/26/2018,9.7
52,10/25/2018,9.7
53,10/24/2018,9.7
54,10/23/2018,9.69
55,10/22/2018,9.69
56,10/19/2018,9.69
57,10/18/2018,9.69
58,10/17/2018,9.71
59,10/16/2018,9.71
60,10/15/2018,9.71
61,10/12/2018,9.7
62,10/11/2018,9.71
63,10/10/2018,9.705
64,10/09/2018,9.73
65,10/08/2018,9.73
66,10/05/2018,9.73
67,10/04/2018,9.7
68,10/03/2018,9.71
69,10/02/2018,9.73
70,10/01/2018,9.7
71,09/28/2018,9.72
72,09/27/2018,9.73
73,09/26/2018,9.73
74,09/25/2018,9.73
75,09/24/2018,9.7
76,09/21/2018,9.7
77,09/20/2018,9.71
78,09/19/2018,9.715
79,09/18/2018,9.655000000000001
80,09/17/2018,9.649999999999999
81,09/14/2018,9.69
82,09/13/2018,9.705
83,09/12/2018,9.73
84,09/11/2018,9.73
85,09/10/2018,9.73
86,09/07/2018,9.725000000000001
87,09/06/2018,9.74
88,09/05/2018,9.745000000000001
89,09/04/2018,9.75
90,08/31/2018,9.754999999999999
91,08/30/2018,9.75
92,08/29/2018,9.75
93,08/28/2018,9.75
94,08/27/2018,9.715
95,08/24/2018,9.72
96,08/23/2018,9.695
97,08/22/2018,9.695
98,08/21/2018,9.7
99,08/20/2018,9.719999999999999
100,08/17/2018,9.6999
101,08/16/2018,9.68
102,08/15/2018,9.68
103,08/14/2018,9.68
104,08/13/2018,9.645
105,08/10/2018,9.64
106,08/09/2018,9.629950000000001
107,08/08/2018,9.61
108,08/07/2018,9.635
109,08/06/2018,9.6
110,08/03/2018,9.625
111,08/02/2018,9.625
112,08/01/2018,9.64
113,07/31/2018,9.64
114,07/30/2018,9.64
115,07/27/2018,9.63
116,07/26/2018,9.635
117,07/25/2018,9.64
118,07/24/2018,9.64
119,07/23/2018,9.64
120,07/20/2018,9.645
121,07/19/2018,9.64155
122,07/18/2018,9.65075
123,07/17/2018,9.65
