,Date,Avg
1,01/10/2019,6.07015
2,01/09/2019,6.04
3,01/08/2019,5.994999999999999
4,01/07/2019,5.975
5,01/04/2019,5.904999999999999
6,01/03/2019,5.734999999999999
7,01/02/2019,5.65
8,12/31/2018,5.65
9,12/28/2018,5.79
10,12/27/2018,5.635
11,12/26/2018,6.005
12,12/24/2018,5.6058
13,12/21/2018,5.585
14,12/20/2018,5.705
15,12/19/2018,5.965
16,12/18/2018,6.035
17,12/17/2018,6.125
18,12/14/2018,6.15
19,12/13/2018,6.15
20,12/12/2018,6.135
21,12/11/2018,5.95345
22,12/10/2018,5.765000000000001
23,12/07/2018,5.82
24,12/06/2018,5.5440000000000005
25,12/04/2018,5.7295
26,12/03/2018,5.94425
27,11/30/2018,6.34855
28,11/29/2018,6.369999999999999
29,11/28/2018,6.24
30,11/27/2018,6.18995
31,11/26/2018,6.029999999999999
32,11/23/2018,5.8100000000000005
33,11/21/2018,5.8728
34,11/20/2018,5.805
35,11/19/2018,5.95995
36,11/16/2018,6.165
37,11/15/2018,6.365
38,11/14/2018,6.5649999999999995
39,11/13/2018,6.59
40,11/12/2018,6.825
41,11/09/2018,7.03
42,11/08/2018,7.23
43,11/07/2018,7.25
44,11/06/2018,7.38
45,11/05/2018,7.245
46,11/02/2018,7.155
47,11/01/2018,7.106999999999999
48,10/31/2018,7.095000000000001
49,10/30/2018,6.77
50,10/29/2018,6.8003
51,10/26/2018,6.2034
52,10/25/2018,5.88605
53,10/24/2018,5.859999999999999
54,10/23/2018,4.92
55,10/22/2018,5.045
56,10/19/2018,5.005
57,10/18/2018,5.045
58,10/17/2018,5.1145
59,10/16/2018,4.92495
60,10/15/2018,4.76
61,10/12/2018,4.83
62,10/11/2018,4.695
63,10/10/2018,4.875
64,10/09/2018,5.154999999999999
65,10/08/2018,5.3
66,10/05/2018,5.3149999999999995
67,10/04/2018,5.715
68,10/03/2018,5.705
69,10/02/2018,5.5555
70,10/01/2018,5.9322
71,09/28/2018,6.148350000000001
72,09/27/2018,6.26
73,09/26/2018,6.2
74,09/25/2018,6.02
75,09/24/2018,6.115
76,09/21/2018,5.890000000000001
77,09/20/2018,6.075
78,09/19/2018,5.592499999999999
79,09/18/2018,5.0014
80,09/17/2018,4.885
81,09/14/2018,4.725
82,09/13/2018,4.75
83,09/12/2018,4.7225
84,09/11/2018,4.654999999999999
85,09/10/2018,4.48
86,09/07/2018,4.48
87,09/06/2018,4.505
88,09/05/2018,4.705
89,09/04/2018,4.785
90,08/31/2018,4.755
91,08/30/2018,4.625
92,08/29/2018,4.4975000000000005
93,08/28/2018,4.665
94,08/27/2018,4.42
95,08/24/2018,4.3149999999999995
96,08/23/2018,4.255
97,08/22/2018,4.365
98,08/21/2018,4.375
99,08/20/2018,4.42
100,08/17/2018,4.4125
101,08/16/2018,4.43
102,08/15/2018,4.295
103,08/14/2018,4.275
104,08/13/2018,4.26
105,08/10/2018,4.32
106,08/09/2018,4.54
107,08/08/2018,4.64495
108,08/07/2018,4.47
109,08/06/2018,4.27
110,08/03/2018,4.1899999999999995
111,08/02/2018,4.095
112,08/01/2018,4.1175
113,07/31/2018,4.1025
114,07/30/2018,4.12
115,07/27/2018,4.10425
116,07/26/2018,4.195
117,07/25/2018,4.23
118,07/24/2018,4.4
119,07/23/2018,4.4
120,07/20/2018,4.47
121,07/19/2018,4.47
122,07/18/2018,4.49
123,07/17/2018,4.49
124,07/16/2018,4.5649999999999995
125,07/13/2018,4.715
126,07/12/2018,4.855
127,07/11/2018,4.6225000000000005
128,07/10/2018,4.505
129,07/09/2018,4.51115
130,07/06/2018,4.58
131,07/05/2018,4.575
132,07/03/2018,4.605
133,07/02/2018,4.5
134,06/29/2018,4.6
135,06/28/2018,4.6
136,06/27/2018,4.6899999999999995
137,06/26/2018,4.7162500000000005
138,06/25/2018,4.645
139,06/22/2018,4.779999999999999
140,06/21/2018,4.93
141,06/20/2018,5.035
142,06/19/2018,4.99
143,06/18/2018,4.925
144,06/15/2018,5.0454
145,06/14/2018,5.21
146,06/13/2018,5.23
147,06/12/2018,5.235
148,06/11/2018,5.1808
149,06/08/2018,5.2
150,06/07/2018,5.155
151,06/06/2018,5.29
152,06/05/2018,5.1625
153,06/04/2018,5.16995
154,06/01/2018,4.975
155,05/31/2018,4.675
156,05/30/2018,4.765
157,05/29/2018,4.705
158,05/25/2018,4.82
159,05/24/2018,4.83
160,05/23/2018,4.744999999999999
161,05/22/2018,4.8325
162,05/21/2018,4.9515
163,05/18/2018,4.84
164,05/17/2018,4.73
165,05/16/2018,4.6899999999999995
166,05/15/2018,4.65
167,05/14/2018,4.735
168,05/11/2018,4.8401499999999995
169,05/10/2018,4.95795
170,05/09/2018,4.970000000000001
171,05/08/2018,4.6675
172,05/07/2018,4.7452000000000005
173,05/04/2018,4.6
174,05/03/2018,4.5555
175,05/02/2018,4.405
176,05/01/2018,4.375
177,04/30/2018,4.654999999999999
178,04/27/2018,4.665
179,04/26/2018,4.47495
180,04/25/2018,5.31325
181,04/24/2018,6.46
182,04/23/2018,6.55
183,04/20/2018,6.485
184,04/19/2018,6.54
185,04/18/2018,6.635
186,04/17/2018,6.66
187,04/16/2018,6.515000000000001
188,04/13/2018,6.68
