,Date,Avg
1,01/10/2019,273.5
2,01/09/2019,278.50750000000005
3,01/08/2019,271.96500000000003
4,01/07/2019,264.06
5,01/04/2019,252.24
6,01/03/2019,243.565
7,01/02/2019,244.35500000000002
8,12/31/2018,242.2124
9,12/28/2018,242.63
10,12/27/2018,238.1725
11,12/26/2018,235.95425
12,12/24/2018,229.36005
13,12/21/2018,233.70499999999998
14,12/20/2018,235.65449999999998
15,12/19/2018,242.445
16,12/18/2018,243.2475
17,12/17/2018,244.5052
18,12/14/2018,248.86
19,12/13/2018,253.38150000000002
20,12/12/2018,253.0173
21,12/11/2018,251.745
22,12/10/2018,248.42000000000002
23,12/07/2018,264.055
24,12/06/2018,287.6625
25,12/04/2018,298.80499999999995
26,12/03/2018,306.885
27,11/30/2018,299.185
28,11/29/2018,299.865
29,11/28/2018,297.4278
30,11/27/2018,296.255
31,11/26/2018,304.41
32,11/23/2018,304.8562
33,11/21/2018,303.6474
34,11/20/2018,305.6311
35,11/19/2018,316.83825
36,11/16/2018,311.3275
37,11/15/2018,309.375
38,11/14/2018,315.365
39,11/13/2018,309.90165
40,11/12/2018,308.94
41,11/09/2018,307.17499999999995
42,11/08/2018,291.995
43,11/07/2018,292.38
44,11/06/2018,288.8574
45,11/05/2018,285.595
46,11/02/2018,278.64
47,11/01/2018,274.97
48,10/31/2018,274.53
49,10/30/2018,271.73625000000004
50,10/29/2018,280.41499999999996
51,10/26/2018,271.03499999999997
52,10/25/2018,269.97249999999997
53,10/24/2018,271.0125
54,10/23/2018,267.7125
55,10/22/2018,273.0375
56,10/19/2018,274.23900000000003
57,10/18/2018,277.21500000000003
58,10/17/2018,283.005
59,10/16/2018,282.39
60,10/15/2018,280.04499999999996
61,10/12/2018,274.96500000000003
62,10/11/2018,269.515
63,10/10/2018,271.76
64,10/09/2018,275.33500000000004
65,10/08/2018,273.00175
66,10/05/2018,269.84749999999997
67,10/04/2018,277.29
68,10/03/2018,279.65
69,10/02/2018,281.635
70,10/01/2018,283.50705
71,09/28/2018,282.23
72,09/27/2018,278.8754
73,09/26/2018,280.07000000000005
74,09/25/2018,279.15
75,09/24/2018,280.125
76,09/21/2018,283.63
77,09/20/2018,286.68
78,09/19/2018,284.255
79,09/18/2018,281.885
80,09/17/2018,279.41
81,09/14/2018,280.97
82,09/13/2018,282.23
83,09/12/2018,286.1
84,09/11/2018,286.7275
85,09/10/2018,285.855
86,09/07/2018,282.65830000000005
87,09/06/2018,273.37
88,09/05/2018,273.2072
89,09/04/2018,266.625
90,08/31/2018,258.0425
91,08/30/2018,243.39
92,08/29/2018,241.54
93,08/28/2018,242.407
94,08/27/2018,242.40499999999997
95,08/24/2018,239.85995
96,08/23/2018,237.575
97,08/22/2018,237.44
98,08/21/2018,241.57
99,08/20/2018,237.8
100,08/17/2018,233.565
101,08/16/2018,234.04500000000002
102,08/15/2018,233.89499999999998
103,08/14/2018,235.7025
104,08/13/2018,235.65
