,Date,Avg
1,01/10/2019,1.26795
2,01/09/2019,1.2417500000000001
3,01/08/2019,1.185
4,01/07/2019,1.19
5,01/04/2019,1.19
6,01/03/2019,1.21
7,01/02/2019,1.1319
8,12/31/2018,1.04
9,12/28/2018,1.05975
10,12/27/2018,1.0550000000000002
11,12/26/2018,1.07
12,12/24/2018,1.03885
13,12/21/2018,1.08
14,12/20/2018,1.12
15,12/19/2018,1.1514000000000002
16,12/18/2018,1.1925
17,12/17/2018,1.2349999999999999
18,12/14/2018,1.28
19,12/13/2018,1.2782
20,12/12/2018,1.23905
21,12/11/2018,1.26
22,12/10/2018,1.335
23,12/07/2018,1.37
24,12/06/2018,1.335
25,12/04/2018,1.4
26,12/03/2018,1.39505
27,11/30/2018,1.385
28,11/29/2018,1.4163999999999999
29,11/28/2018,1.4496
30,11/27/2018,1.455
31,11/26/2018,1.51
32,11/23/2018,1.5175
33,11/21/2018,1.59385
34,11/20/2018,1.6099999999999999
35,11/19/2018,1.625
36,11/16/2018,1.6411
37,11/15/2018,1.63
38,11/14/2018,1.615
39,11/13/2018,1.6507
40,11/12/2018,1.745
41,11/09/2018,1.63995
42,11/08/2018,1.59
43,11/07/2018,1.62
44,11/06/2018,1.56
45,11/05/2018,1.6912500000000001
46,11/02/2018,1.6317499999999998
47,11/01/2018,1.54505
48,10/31/2018,1.4849999999999999
49,10/30/2018,1.4649999999999999
50,10/29/2018,1.46505
51,10/26/2018,1.4640499999999999
52,10/25/2018,1.47
53,10/24/2018,1.48
54,10/23/2018,1.48
55,10/22/2018,1.595
56,10/19/2018,1.66035
57,10/18/2018,1.7149999999999999
58,10/17/2018,1.7
59,10/16/2018,1.7
60,10/15/2018,1.7349999999999999
61,10/12/2018,1.775
62,10/11/2018,1.705
63,10/10/2018,1.755
64,10/09/2018,1.78
65,10/08/2018,1.705
66,10/05/2018,1.75
67,10/04/2018,1.855
68,10/03/2018,1.915
69,10/02/2018,1.94495
70,10/01/2018,1.8684500000000002
71,09/28/2018,1.74
72,09/27/2018,1.7055500000000001
73,09/26/2018,1.72
74,09/25/2018,1.80755
75,09/24/2018,1.7995
76,09/21/2018,1.63685
77,09/20/2018,1.4879
78,09/19/2018,1.46035
79,09/18/2018,1.715
80,09/17/2018,1.73
81,09/14/2018,1.505
82,09/13/2018,1.37
83,09/12/2018,1.3199999999999998
84,09/11/2018,1.225
85,09/10/2018,1.25
86,09/07/2018,1.2349999999999999
87,09/06/2018,1.2745
88,09/05/2018,1.3050000000000002
89,09/04/2018,1.3
90,08/31/2018,1.2650000000000001
91,08/30/2018,1.26
92,08/29/2018,1.2650000000000001
93,08/28/2018,1.2349999999999999
94,08/27/2018,1.245
95,08/24/2018,1.2349999999999999
96,08/23/2018,1.2650000000000001
97,08/22/2018,1.28
98,08/21/2018,1.30955
99,08/20/2018,1.315
100,08/17/2018,1.2850000000000001
101,08/16/2018,1.255
102,08/15/2018,1.255
103,08/14/2018,1.255
104,08/13/2018,1.255
105,08/10/2018,1.225
106,08/09/2018,1.275
107,08/08/2018,1.24
108,08/07/2018,1.2149999999999999
109,08/06/2018,1.2000000000000002
110,08/03/2018,1.085
111,08/02/2018,1.0150000000000001
112,08/01/2018,1.0150000000000001
113,07/31/2018,1.0288
114,07/30/2018,1.0378
115,07/27/2018,1.025
116,07/26/2018,1.025
117,07/25/2018,0.9975
118,07/24/2018,0.95
119,07/23/2018,0.925
120,07/20/2018,0.97
121,07/19/2018,0.9824999999999999
122,07/18/2018,0.985
123,07/17/2018,0.9904999999999999
124,07/16/2018,0.985
125,07/13/2018,0.99
126,07/12/2018,0.99505
127,07/11/2018,0.995
128,07/10/2018,1.005
129,07/09/2018,1.03
130,07/06/2018,1.05105
131,07/05/2018,1.03
132,07/03/2018,1.0324499999999999
133,07/02/2018,1.0300500000000001
134,06/29/2018,1.04
135,06/28/2018,1.0350000000000001
136,06/27/2018,1.0549
137,06/26/2018,1.05
138,06/25/2018,1.0067
139,06/22/2018,1.05
140,06/21/2018,1.06
141,06/20/2018,1.0899999999999999
142,06/19/2018,1.13
143,06/18/2018,1.085
144,06/15/2018,1.05
145,06/14/2018,1.0554000000000001
146,06/13/2018,1.045
147,06/12/2018,1.0350000000000001
148,06/11/2018,1.0550000000000002
149,06/08/2018,1.03
150,06/07/2018,1.025
151,06/06/2018,1.0750000000000002
152,06/05/2018,1.045
153,06/04/2018,1.025
154,06/01/2018,1.0277500000000002
155,05/31/2018,1.025
156,05/30/2018,1.005
157,05/29/2018,0.975
158,05/25/2018,0.99025
159,05/24/2018,0.99995
160,05/23/2018,1.04
161,05/22/2018,1.065
162,05/21/2018,1.02505
163,05/18/2018,1.0175
164,05/17/2018,1.01665
165,05/16/2018,1.0
166,05/15/2018,1.1400000000000001
167,05/14/2018,1.25
168,05/11/2018,1.25
169,05/10/2018,1.24
170,05/09/2018,1.25
171,05/08/2018,1.2149999999999999
172,05/07/2018,1.18
173,05/04/2018,1.17
174,05/03/2018,1.155
175,05/02/2018,1.19
