,Date,Avg
1,01/10/2019,12.57
2,01/09/2019,12.620000000000001
3,01/08/2019,12.63585
4,01/07/2019,12.395
5,01/04/2019,12.07035
6,01/03/2019,11.995000000000001
7,01/02/2019,12.035
8,12/31/2018,12.11
9,12/28/2018,12.135
10,12/27/2018,12.129999999999999
11,12/26/2018,12.145499999999998
12,12/24/2018,12.115
13,12/21/2018,12.35
14,12/20/2018,12.399999999999999
15,12/19/2018,12.629999999999999
16,12/18/2018,12.66
17,12/17/2018,12.59
18,12/14/2018,12.280000000000001
19,12/13/2018,12.283
20,12/12/2018,12.25
21,12/11/2018,12.165
22,12/10/2018,12.16
23,12/07/2018,12.14
24,12/06/2018,12.045
25,12/04/2018,11.969999999999999
26,12/03/2018,11.985
27,11/30/2018,11.985
28,11/29/2018,12.05
29,11/28/2018,12.03615
30,11/27/2018,12.059999999999999
31,11/26/2018,12.18
32,11/23/2018,12.190000000000001
33,11/21/2018,12.245000000000001
34,11/20/2018,12.285
35,11/19/2018,12.355
36,11/16/2018,12.36
37,11/15/2018,12.440000000000001
38,11/14/2018,12.50025
39,11/13/2018,12.495000000000001
40,11/12/2018,12.508299999999998
41,11/09/2018,12.530000000000001
42,11/08/2018,12.54
43,11/07/2018,12.555
44,11/06/2018,12.504999999999999
45,11/05/2018,12.49375
46,11/02/2018,12.5
47,11/01/2018,12.455
48,10/31/2018,12.399999999999999
49,10/30/2018,12.3463
50,10/29/2018,12.409849999999999
51,10/26/2018,12.405
52,10/25/2018,12.42
53,10/24/2018,12.49
54,10/23/2018,12.4437
55,10/22/2018,12.395
56,10/19/2018,12.399999999999999
57,10/18/2018,12.45
58,10/17/2018,12.530000000000001
59,10/16/2018,12.379999999999999
60,10/15/2018,12.2655
61,10/12/2018,12.253599999999999
62,10/11/2018,12.245
63,10/10/2018,12.26785
64,10/09/2018,12.27
65,10/08/2018,12.3442
66,10/05/2018,12.43
67,10/04/2018,12.54
68,10/03/2018,12.635000000000002
69,10/02/2018,12.635
70,10/01/2018,12.749949999999998
71,09/28/2018,12.745000000000001
72,09/27/2018,12.665
73,09/26/2018,12.60005
74,09/25/2018,12.595
75,09/24/2018,12.585
76,09/21/2018,12.565
77,09/20/2018,12.555
78,09/19/2018,12.575
79,09/18/2018,12.57
80,09/17/2018,12.55995
81,09/14/2018,12.605
82,09/13/2018,12.65
83,09/12/2018,12.645
84,09/11/2018,12.58
85,09/10/2018,12.559999999999999
86,09/07/2018,12.555
87,09/06/2018,12.55
88,09/05/2018,12.5657
89,09/04/2018,12.591000000000001
90,08/31/2018,12.615
91,08/30/2018,12.629999999999999
92,08/29/2018,12.69
93,08/28/2018,12.71
94,08/27/2018,12.7
95,08/24/2018,12.715
96,08/23/2018,12.725
97,08/22/2018,12.77
98,08/21/2018,12.74
99,08/20/2018,12.739999999999998
100,08/17/2018,12.739999999999998
101,08/16/2018,12.72
102,08/15/2018,12.68
103,08/14/2018,12.675
104,08/13/2018,12.64
105,08/10/2018,12.7
106,08/09/2018,12.719999999999999
107,08/08/2018,12.72105
108,08/07/2018,12.70315
109,08/06/2018,12.71
110,08/03/2018,12.71
111,08/02/2018,12.71
112,08/01/2018,12.725
113,07/31/2018,12.6975
114,07/30/2018,12.655000000000001
115,07/27/2018,12.64
116,07/26/2018,12.67
117,07/25/2018,12.705
118,07/24/2018,12.70505
119,07/23/2018,12.690000000000001
120,07/20/2018,12.69005
121,07/19/2018,12.68735
122,07/18/2018,12.719999999999999
123,07/17/2018,12.7345
124,07/16/2018,12.765
125,07/13/2018,12.79
126,07/12/2018,12.765
127,07/11/2018,12.730049999999999
128,07/10/2018,12.66
129,07/09/2018,12.665
130,07/06/2018,12.68
131,07/05/2018,12.7
132,07/03/2018,12.657399999999999
133,07/02/2018,12.646899999999999
134,06/29/2018,12.5655
135,06/28/2018,12.5843
136,06/27/2018,12.600850000000001
137,06/26/2018,12.6192
138,06/25/2018,12.595
139,06/22/2018,12.58
140,06/21/2018,12.55
141,06/20/2018,12.64995
142,06/19/2018,12.66
143,06/18/2018,12.663450000000001
144,06/15/2018,12.649999999999999
145,06/14/2018,12.635
146,06/13/2018,12.6231
147,06/12/2018,12.583300000000001
148,06/11/2018,12.55
149,06/08/2018,12.53495
150,06/07/2018,12.52
151,06/06/2018,12.52505
152,06/05/2018,12.54465
153,06/04/2018,12.545
154,06/01/2018,12.55
155,05/31/2018,12.54
156,05/30/2018,12.545
157,05/29/2018,12.535499999999999
158,05/25/2018,12.5652
159,05/24/2018,12.55
160,05/23/2018,12.605
161,05/22/2018,12.59
162,05/21/2018,12.6187
163,05/18/2018,12.6425
164,05/17/2018,12.66
165,05/16/2018,12.655000000000001
166,05/15/2018,12.68
167,05/14/2018,12.71
168,05/11/2018,12.71
169,05/10/2018,12.6899
170,05/09/2018,12.717500000000001
171,05/08/2018,12.719999999999999
172,05/07/2018,12.745000000000001
173,05/04/2018,12.72075
174,05/03/2018,12.715
175,05/02/2018,12.7325
176,05/01/2018,12.735
177,04/30/2018,12.769950000000001
178,04/27/2018,12.74
179,04/26/2018,12.725
180,04/25/2018,12.75
181,04/24/2018,12.785
182,04/23/2018,12.785
183,04/20/2018,12.8
184,04/19/2018,12.83
185,04/18/2018,12.870000000000001
186,04/17/2018,12.885
187,04/16/2018,12.85
188,04/13/2018,12.855
189,04/12/2018,12.8749
190,04/11/2018,12.879999999999999
191,04/10/2018,12.885
192,04/09/2018,12.855
193,04/06/2018,12.8245
194,04/05/2018,12.84
195,04/04/2018,12.835
196,04/03/2018,12.815000000000001
197,04/02/2018,12.879999999999999
198,03/29/2018,12.89
199,03/28/2018,12.8
200,03/27/2018,12.76
201,03/26/2018,12.785
202,03/23/2018,12.795
203,03/22/2018,12.785
204,03/21/2018,12.877500000000001
205,03/20/2018,12.838349999999998
206,03/19/2018,12.895
207,03/16/2018,12.92935
208,03/15/2018,12.956949999999999
209,03/14/2018,12.969999999999999
210,03/13/2018,12.963999999999999
211,03/12/2018,12.995000000000001
212,03/09/2018,13.010000000000002
213,03/08/2018,12.955
214,03/07/2018,12.940000000000001
215,03/06/2018,12.905000000000001
216,03/05/2018,12.91
217,03/02/2018,12.9377
218,03/01/2018,12.96
219,02/28/2018,12.969999999999999
220,02/27/2018,12.955
221,02/26/2018,12.989999999999998
222,02/23/2018,12.955
223,02/22/2018,12.9225
224,02/21/2018,12.975
225,02/20/2018,12.95995
226,02/16/2018,12.925
227,02/15/2018,12.9775
228,02/14/2018,13.025
229,02/13/2018,13.030000000000001
230,02/12/2018,13.075
231,02/09/2018,13.120000000000001
232,02/08/2018,13.254999999999999
233,02/07/2018,13.297450000000001
234,02/06/2018,13.215
235,02/05/2018,13.135000000000002
236,02/02/2018,13.270150000000001
237,02/01/2018,13.34
238,01/31/2018,13.4375
239,01/30/2018,13.444700000000001
240,01/29/2018,13.435500000000001
241,01/26/2018,13.440000000000001
242,01/25/2018,13.455
243,01/24/2018,13.495000000000001
244,01/23/2018,13.45
245,01/22/2018,13.54
246,01/19/2018,13.48
247,01/18/2018,13.509500000000001
248,01/17/2018,13.63995
249,01/16/2018,13.685
250,01/12/2018,13.69885
251,01/11/2018,13.75465
252,01/10/2018,13.745000000000001
253,01/09/2018,13.815
254,01/08/2018,13.850000000000001
255,01/05/2018,13.855
256,01/04/2018,13.879999999999999
257,01/03/2018,13.850000000000001
258,01/02/2018,13.845
259,12/29/2017,13.805
260,12/28/2017,13.74
261,12/27/2017,13.75
262,12/26/2017,13.7009
263,12/22/2017,13.60505
264,12/21/2017,13.555
265,12/20/2017,13.66
266,12/19/2017,13.649999999999999
267,12/18/2017,13.665
268,12/15/2017,13.594999999999999
269,12/14/2017,13.605
270,12/13/2017,13.629999999999999
271,12/12/2017,13.727
272,12/11/2017,13.76
273,12/08/2017,13.7852
274,12/07/2017,13.84
275,12/06/2017,13.879999999999999
276,12/05/2017,13.85285
277,12/04/2017,13.8125
278,12/01/2017,13.73
279,11/30/2017,13.675
280,11/29/2017,13.6995
281,11/28/2017,13.774999999999999
282,11/27/2017,13.7345
283,11/24/2017,13.86415
284,11/22/2017,13.719999999999999
285,11/21/2017,13.775
286,11/20/2017,13.780000000000001
287,11/17/2017,13.73505
288,11/16/2017,13.68
289,11/15/2017,13.64
290,11/14/2017,13.855
291,11/13/2017,14.0325
292,11/10/2017,14.120000000000001
293,11/09/2017,14.151399999999999
294,11/08/2017,14.16505
295,11/07/2017,14.120000000000001
296,11/06/2017,14.0
297,11/03/2017,13.955
298,11/02/2017,14.02
299,11/01/2017,14.0105
300,10/31/2017,14.010000000000002
301,10/30/2017,13.943249999999999
302,10/27/2017,13.895
303,10/26/2017,13.89505
304,10/25/2017,13.915
305,10/24/2017,13.925
306,10/23/2017,13.925
307,10/20/2017,13.89
308,10/19/2017,13.84
309,10/18/2017,13.915
310,10/17/2017,13.870000000000001
311,10/16/2017,13.854949999999999
312,10/13/2017,13.885
313,10/12/2017,13.88345
314,10/11/2017,13.895
315,10/10/2017,13.895
316,10/09/2017,13.855
317,10/06/2017,13.905000000000001
318,10/05/2017,13.875
319,10/04/2017,13.86
320,10/03/2017,13.875
321,10/02/2017,13.8525
322,09/29/2017,13.835
323,09/28/2017,13.8438
324,09/27/2017,13.89
325,09/26/2017,13.95
326,09/25/2017,13.955
327,09/22/2017,13.940000000000001
328,09/21/2017,13.88505
329,09/20/2017,13.9417
330,09/19/2017,13.931049999999999
331,09/18/2017,13.9441
332,09/15/2017,13.899999999999999
333,09/14/2017,13.955
334,09/13/2017,14.094999999999999
335,09/12/2017,14.135000000000002
336,09/11/2017,14.190000000000001
337,09/08/2017,14.193950000000001
338,09/07/2017,14.260000000000002
339,09/06/2017,14.29
340,09/05/2017,14.25
341,09/01/2017,14.26
342,08/31/2017,14.235
343,08/30/2017,14.248
344,08/29/2017,14.2357
345,08/28/2017,14.259
346,08/25/2017,14.216149999999999
347,08/24/2017,14.215
348,08/23/2017,14.1552
349,08/22/2017,14.129999999999999
350,08/21/2017,14.059999999999999
351,08/18/2017,14.05
352,08/17/2017,14.02
353,08/16/2017,14.11
354,08/15/2017,14.085
355,08/14/2017,14.0525
356,08/11/2017,13.96495
357,08/10/2017,13.945
358,08/09/2017,14.181049999999999
359,08/08/2017,14.2889
360,08/07/2017,14.265
361,08/04/2017,14.32
362,08/03/2017,14.265
363,08/02/2017,14.29
364,08/01/2017,14.280000000000001
365,07/31/2017,14.33005
366,07/28/2017,14.255
367,07/27/2017,14.245000000000001
368,07/26/2017,14.18
369,07/25/2017,14.11975
370,07/24/2017,14.0305
371,07/21/2017,13.965
372,07/20/2017,13.89285
373,07/19/2017,13.955499999999999
374,07/18/2017,13.975
375,07/17/2017,13.93
376,07/14/2017,13.9308
377,07/13/2017,13.91
378,07/12/2017,14.035
379,07/11/2017,14.085
380,07/10/2017,13.99
381,07/07/2017,13.91
382,07/06/2017,13.899999999999999
383,07/05/2017,13.96
384,07/03/2017,13.965
385,06/30/2017,13.94185
386,06/29/2017,13.86185
387,06/28/2017,13.865
388,06/27/2017,13.855
389,06/26/2017,13.86
390,06/23/2017,13.89
391,06/22/2017,13.865
392,06/21/2017,13.84
393,06/20/2017,13.855
394,06/19/2017,13.79
395,06/16/2017,13.75
396,06/15/2017,13.755
397,06/14/2017,13.8
398,06/13/2017,13.7701
399,06/12/2017,13.805
400,06/09/2017,13.805
401,06/08/2017,13.745000000000001
402,06/07/2017,13.715
403,06/06/2017,13.7
404,06/05/2017,13.67
405,06/02/2017,13.665
406,06/01/2017,13.625
407,05/31/2017,13.63265
408,05/30/2017,13.625
409,05/26/2017,13.6425
410,05/25/2017,13.64745
411,05/24/2017,13.620000000000001
412,05/23/2017,13.615
413,05/22/2017,13.604500000000002
414,05/19/2017,13.594999999999999
415,05/18/2017,13.55505
416,05/17/2017,13.535
417,05/16/2017,13.61
418,05/15/2017,13.58
419,05/12/2017,13.559999999999999
420,05/11/2017,13.555
421,05/10/2017,13.594999999999999
422,05/09/2017,13.64
423,05/08/2017,13.625
424,05/05/2017,13.66
425,05/04/2017,13.64
426,05/03/2017,13.645
427,05/02/2017,13.575
428,05/01/2017,13.5063
429,04/28/2017,13.47265
430,04/27/2017,13.475
431,04/26/2017,13.485
432,04/25/2017,13.455
433,04/24/2017,13.445
434,04/21/2017,13.45485
435,04/20/2017,13.45
436,04/19/2017,13.420000000000002
437,04/18/2017,13.485
438,04/17/2017,13.535
439,04/13/2017,13.525
