,Date,Avg
1,01/10/2019,38.295
2,01/09/2019,38.47
3,01/08/2019,38.03
4,01/07/2019,37.38
5,01/04/2019,36.4304
6,01/03/2019,34.905
7,01/02/2019,35.25
8,12/31/2018,35.385
9,12/28/2018,34.33
10,12/27/2018,33.6375
11,12/26/2018,33.400000000000006
12,12/24/2018,32.3814
13,12/21/2018,32.765
14,12/20/2018,34.4975
15,12/19/2018,35.68
16,12/18/2018,35.379999999999995
17,12/17/2018,34.837500000000006
18,12/14/2018,35.625
19,12/13/2018,36.315
20,12/12/2018,36.5325
21,12/11/2018,34.957499999999996
22,12/10/2018,34.625
23,12/07/2018,34.945
24,12/06/2018,34.92
25,12/04/2018,35.94
26,12/03/2018,36.975
27,11/30/2018,36.89
28,11/29/2018,36.394999999999996
29,11/28/2018,35.86
30,11/27/2018,35.66605
31,11/26/2018,35.945
32,11/23/2018,35.5
33,11/21/2018,35.49
34,11/20/2018,33.4975
35,11/19/2018,35.29
36,11/16/2018,36.195
37,11/15/2018,36.185
38,11/14/2018,35.264250000000004
39,11/13/2018,34.9298
40,11/12/2018,36.75
41,11/09/2018,38.885000000000005
42,11/08/2018,38.795
43,11/07/2018,35.955
44,11/06/2018,34.295
45,11/05/2018,34.015
46,11/02/2018,34.254999999999995
47,11/01/2018,34.165
48,10/31/2018,34.7725
49,10/30/2018,33.2518
50,10/29/2018,33.305
51,10/26/2018,32.6875
52,10/25/2018,32.78
53,10/24/2018,32.894999999999996
54,10/23/2018,32.474999999999994
55,10/22/2018,33.515
56,10/19/2018,34.120000000000005
57,10/18/2018,33.8725
58,10/17/2018,34.55
59,10/16/2018,34.864999999999995
60,10/15/2018,34.15
61,10/12/2018,34.545
62,10/11/2018,33.775
63,10/10/2018,33.900000000000006
64,10/09/2018,35.129999999999995
65,10/08/2018,35.92
66,10/05/2018,36.799400000000006
67,10/04/2018,38.0
68,10/03/2018,38.364999999999995
69,10/02/2018,38.915
70,10/01/2018,39.7125
71,09/28/2018,39.225
72,09/27/2018,39.625
73,09/26/2018,39.325
74,09/25/2018,39.225
75,09/24/2018,36.825
76,09/21/2018,35.975
77,09/20/2018,35.1416
78,09/19/2018,35.425
79,09/18/2018,34.099999999999994
80,09/17/2018,38.0
81,09/14/2018,38.75
82,09/13/2018,39.425
83,09/12/2018,39.425
84,09/11/2018,38.45
85,09/10/2018,37.7
86,09/07/2018,37.925
87,09/06/2018,37.80005
88,09/05/2018,37.400000000000006
89,09/04/2018,37.40085
90,08/31/2018,36.375
91,08/30/2018,35.9
92,08/29/2018,35.126
93,08/28/2018,33.375
94,08/27/2018,33.225
95,08/24/2018,32.6
96,08/23/2018,31.575
97,08/22/2018,30.875
98,08/21/2018,31.075000000000003
99,08/20/2018,30.75
100,08/17/2018,30.85
101,08/16/2018,31.45
102,08/15/2018,31.425
103,08/14/2018,30.65005
104,08/13/2018,30.275
105,08/10/2018,30.174999999999997
106,08/09/2018,30.54925
107,08/08/2018,28.9423
108,08/07/2018,25.450000000000003
109,08/06/2018,25.3
110,08/03/2018,25.725
111,08/02/2018,25.8375
112,08/01/2018,25.424999999999997
113,07/31/2018,25.15
114,07/30/2018,25.6
115,07/27/2018,26.3
116,07/26/2018,26.375
117,07/25/2018,26.075
118,07/24/2018,25.725
119,07/23/2018,25.625
120,07/20/2018,25.65
121,07/19/2018,25.425
122,07/18/2018,25.275
123,07/17/2018,25.200000000000003
124,07/16/2018,24.700000000000003
125,07/13/2018,24.924999999999997
126,07/12/2018,24.9
127,07/11/2018,24.5
128,07/10/2018,24.725
129,07/09/2018,25.0
130,07/06/2018,25.1375
131,07/05/2018,25.049999999999997
132,07/03/2018,24.725
133,07/02/2018,24.55
134,06/29/2018,24.675
135,06/28/2018,24.5005
136,06/27/2018,24.625
137,06/26/2018,24.85
138,06/25/2018,24.2625
139,06/22/2018,24.85
140,06/21/2018,25.6
141,06/20/2018,25.975
142,06/19/2018,25.95
143,06/18/2018,25.9125
144,06/15/2018,25.875
145,06/14/2018,26.125
146,06/13/2018,26.275
147,06/12/2018,25.975
148,06/11/2018,26.375
149,06/08/2018,26.375
150,06/07/2018,26.5
151,06/06/2018,26.75
152,06/05/2018,26.675
153,06/04/2018,26.275
154,06/01/2018,26.05
155,05/31/2018,26.025
156,05/30/2018,26.200000000000003
157,05/29/2018,25.700000000000003
158,05/25/2018,25.8
159,05/24/2018,25.950000000000003
160,05/23/2018,25.225
161,05/22/2018,25.375
162,05/21/2018,25.875
163,05/18/2018,25.8
164,05/17/2018,25.575000000000003
165,05/16/2018,26.0
166,05/15/2018,26.2375
167,05/14/2018,26.75
168,05/11/2018,27.225
169,05/10/2018,27.275
170,05/09/2018,27.275
171,05/08/2018,26.95
172,05/07/2018,26.875
173,05/04/2018,25.875
174,05/03/2018,24.35
175,05/02/2018,22.862499999999997
176,05/01/2018,22.225
177,04/30/2018,22.575
178,04/27/2018,22.700000000000003
179,04/26/2018,22.8975
180,04/25/2018,22.9
181,04/24/2018,23.4
182,04/23/2018,23.8
183,04/20/2018,24.325
184,04/19/2018,24.9
185,04/18/2018,24.950000000000003
186,04/17/2018,24.65
187,04/16/2018,24.525
188,04/13/2018,24.525
189,04/12/2018,24.625
190,04/11/2018,24.5
191,04/10/2018,24.35
192,04/09/2018,24.35
193,04/06/2018,24.275
194,04/05/2018,24.4625
195,04/04/2018,23.8
196,04/03/2018,23.65
197,04/02/2018,23.637500000000003
198,03/29/2018,23.5
199,03/28/2018,23.275
200,03/27/2018,23.575000000000003
201,03/26/2018,23.2625
202,03/23/2018,23.75
203,03/22/2018,24.1
204,03/21/2018,24.025
205,03/20/2018,24.05
206,03/19/2018,23.85
207,03/16/2018,23.924999999999997
208,03/15/2018,23.575000000000003
209,03/14/2018,23.575000000000003
210,03/13/2018,23.525
211,03/12/2018,23.55
212,03/09/2018,23.475
213,03/08/2018,23.65
214,03/07/2018,23.4
215,03/06/2018,23.05
216,03/05/2018,23.0657
217,03/02/2018,22.825
218,03/01/2018,22.525
219,02/28/2018,23.0184
220,02/27/2018,22.225
221,02/26/2018,21.7
222,02/23/2018,21.5
223,02/22/2018,26.4
224,02/21/2018,26.45
225,02/20/2018,26.175
226,02/16/2018,25.825
227,02/15/2018,25.049999999999997
228,02/14/2018,24.475
229,02/13/2018,24.4
230,02/12/2018,23.950000000000003
231,02/09/2018,23.225
232,02/08/2018,22.85
233,02/07/2018,22.75
234,02/06/2018,22.112000000000002
235,02/05/2018,22.125
236,02/02/2018,22.15
237,02/01/2018,22.25
238,01/31/2018,22.225
239,01/30/2018,22.1
240,01/29/2018,22.2
241,01/26/2018,22.151699999999998
242,01/25/2018,21.950000000000003
243,01/24/2018,21.9
244,01/23/2018,22.025
245,01/22/2018,22.0
246,01/19/2018,21.875
247,01/18/2018,21.75
248,01/17/2018,21.8
249,01/16/2018,21.75
250,01/12/2018,21.85
251,01/11/2018,21.7
252,01/10/2018,21.325
253,01/09/2018,21.43605
254,01/08/2018,21.325
255,01/05/2018,21.375
256,01/04/2018,21.4
257,01/03/2018,21.3
258,01/02/2018,21.475
259,12/29/2017,21.4
260,12/28/2017,21.4
261,12/27/2017,21.4375
262,12/26/2017,21.65
263,12/22/2017,21.575
264,12/21/2017,21.674999999999997
265,12/20/2017,21.45
266,12/19/2017,21.85
267,12/18/2017,21.85
268,12/15/2017,21.225
269,12/14/2017,20.975
270,12/13/2017,21.275
271,12/12/2017,21.225
272,12/11/2017,21.225
273,12/08/2017,21.35
274,12/07/2017,21.2
275,12/06/2017,20.8
276,12/05/2017,20.875
277,12/04/2017,21.35
278,12/01/2017,21.575000000000003
279,11/30/2017,21.925
280,11/29/2017,22.424999999999997
281,11/28/2017,22.799999999999997
282,11/27/2017,22.875
283,11/24/2017,22.7
284,11/22/2017,22.425
285,11/21/2017,22.4
286,11/20/2017,22.225
287,11/17/2017,22.175
288,11/16/2017,22.025
289,11/15/2017,21.924999999999997
290,11/14/2017,22.15
291,11/13/2017,22.075
292,11/10/2017,22.299999999999997
293,11/09/2017,22.525
294,11/08/2017,23.15
295,11/07/2017,22.6
296,11/06/2017,22.8
297,11/03/2017,22.65
298,11/02/2017,22.4
299,11/01/2017,22.424999999999997
300,10/31/2017,22.225
301,10/30/2017,22.025
302,10/27/2017,22.175
303,10/26/2017,22.200000000000003
304,10/25/2017,22.125
305,10/24/2017,22.2
306,10/23/2017,22.25
307,10/20/2017,22.325
308,10/19/2017,22.1875
309,10/18/2017,22.325
310,10/17/2017,22.275
311,10/16/2017,22.3
312,10/13/2017,22.3
313,10/12/2017,22.35
314,10/11/2017,22.475
315,10/10/2017,22.275
316,10/09/2017,22.075000000000003
317,10/06/2017,21.975
318,10/05/2017,21.950000000000003
319,10/04/2017,21.95
320,10/03/2017,21.5
321,10/02/2017,21.125
322,09/29/2017,20.950000000000003
323,09/28/2017,20.725
324,09/27/2017,20.4625
325,09/26/2017,19.95
326,09/25/2017,19.884999999999998
327,09/22/2017,20.175
328,09/21/2017,20.0475
329,09/20/2017,20.0625
330,09/19/2017,19.775
331,09/18/2017,19.725
332,09/15/2017,19.6685
333,09/14/2017,19.575000000000003
334,09/13/2017,19.675
335,09/12/2017,19.801000000000002
336,09/11/2017,20.0
337,09/08/2017,19.8
338,09/07/2017,19.825000000000003
339,09/06/2017,19.8125
340,09/05/2017,19.825049999999997
341,09/01/2017,19.95
342,08/31/2017,20.049999999999997
343,08/30/2017,19.9
344,08/29/2017,19.75
345,08/28/2017,19.775
346,08/25/2017,19.7
347,08/24/2017,19.6
348,08/23/2017,19.700000000000003
349,08/22/2017,19.825
350,08/21/2017,19.725
351,08/18/2017,19.775
352,08/17/2017,19.775
353,08/16/2017,19.625
354,08/15/2017,19.675
355,08/14/2017,19.7
356,08/11/2017,18.925
357,08/10/2017,18.875
358,08/09/2017,19.075
359,08/08/2017,19.35
360,08/07/2017,19.65
361,08/04/2017,19.65
362,08/03/2017,19.086350000000003
363,08/02/2017,19.425
364,08/01/2017,19.65
365,07/31/2017,19.55
366,07/28/2017,19.75
367,07/27/2017,20.0
368,07/26/2017,20.330399999999997
369,07/25/2017,20.262500000000003
370,07/24/2017,20.075
371,07/21/2017,20.125
372,07/20/2017,20.5
373,07/19/2017,20.240000000000002
374,07/18/2017,20.125
375,07/17/2017,20.125
376,07/14/2017,19.95
377,07/13/2017,20.125
378,07/12/2017,20.0
379,07/11/2017,19.7
380,07/10/2017,19.275
381,07/07/2017,19.125
382,07/06/2017,18.725
383,07/05/2017,18.65
384,07/03/2017,18.825
385,06/30/2017,19.075499999999998
386,06/29/2017,18.924999999999997
387,06/28/2017,19.35
388,06/27/2017,19.75
389,06/26/2017,19.6
390,06/23/2017,19.375
391,06/22/2017,19.05
392,06/21/2017,18.9
393,06/20/2017,18.825000000000003
394,06/19/2017,19.025
395,06/16/2017,18.85
396,06/15/2017,18.725
397,06/14/2017,18.725
398,06/13/2017,18.4
399,06/12/2017,17.825
400,06/09/2017,18.25
401,06/08/2017,18.4
402,06/07/2017,18.55
403,06/06/2017,18.65
404,06/05/2017,18.799999999999997
405,06/02/2017,18.725
406,06/01/2017,18.3
407,05/31/2017,18.125
408,05/30/2017,18.200000000000003
409,05/26/2017,18.299999999999997
410,05/25/2017,18.225
411,05/24/2017,17.98575
412,05/23/2017,18.049999999999997
413,05/22/2017,17.7
414,05/19/2017,17.424999999999997
415,05/18/2017,17.5
416,05/17/2017,17.75
417,05/16/2017,18.0
418,05/15/2017,17.924999999999997
419,05/12/2017,17.5
420,05/11/2017,17.375
421,05/10/2017,17.45
422,05/09/2017,17.8125
423,05/08/2017,17.950499999999998
424,05/05/2017,17.725
425,05/04/2017,16.85
426,05/03/2017,16.75
427,05/02/2017,16.9
428,05/01/2017,16.825000000000003
429,04/28/2017,16.674999999999997
430,04/27/2017,16.825
431,04/26/2017,16.95
432,04/25/2017,16.9
433,04/24/2017,16.75
434,04/21/2017,16.7
435,04/20/2017,16.8095
436,04/19/2017,16.525
437,04/18/2017,16.225
438,04/17/2017,16.175
439,04/13/2017,16.175
440,04/12/2017,16.1
441,04/11/2017,16.125
442,04/10/2017,15.9
443,04/07/2017,15.950000000000001
444,04/06/2017,15.725
445,04/05/2017,15.75
446,04/04/2017,15.675
447,04/03/2017,15.575
448,03/31/2017,15.7
449,03/30/2017,15.575
450,03/29/2017,15.675
451,03/28/2017,15.575
452,03/27/2017,15.325
453,03/24/2017,15.2
454,03/23/2017,15.325
455,03/22/2017,15.175
456,03/21/2017,15.725
457,03/20/2017,16.05
458,03/17/2017,15.75
459,03/16/2017,15.575
460,03/15/2017,15.3
461,03/14/2017,15.05
462,03/13/2017,15.12425
463,03/10/2017,15.15
464,03/09/2017,15.125
465,03/08/2017,15.3
466,03/07/2017,15.100000000000001
467,03/06/2017,14.75
468,03/03/2017,14.55
469,03/02/2017,14.7375
470,03/01/2017,14.875
471,02/28/2017,14.875
472,02/27/2017,14.625
473,02/24/2017,14.15
474,02/23/2017,13.475000000000001
475,02/22/2017,13.5
476,02/21/2017,13.175
477,02/17/2017,13.25
478,02/16/2017,13.15
479,02/15/2017,13.175
480,02/14/2017,13.0
481,02/13/2017,13.325
482,02/10/2017,13.35
483,02/09/2017,13.2
484,02/08/2017,12.775
485,02/07/2017,12.9
486,02/06/2017,12.675
487,02/03/2017,12.8875
488,02/02/2017,12.6
489,02/01/2017,12.45
490,01/31/2017,12.65
491,01/30/2017,12.774999999999999
492,01/27/2017,12.9
493,01/26/2017,12.8
494,01/25/2017,12.85
495,01/24/2017,12.825
496,01/23/2017,12.525
497,01/20/2017,13.25
498,01/19/2017,13.175
499,01/18/2017,13.2
500,01/17/2017,13.45
501,01/13/2017,13.6
502,01/12/2017,13.6
503,01/11/2017,13.850000000000001
504,01/10/2017,13.575
505,01/09/2017,13.575
506,01/06/2017,13.825
507,01/05/2017,13.87495
508,01/04/2017,13.725000000000001
509,01/03/2017,13.600000000000001
510,12/30/2016,13.55
511,12/29/2016,13.6125
512,12/28/2016,13.649999999999999
513,12/27/2016,13.625
514,12/23/2016,13.524999999999999
515,12/22/2016,13.35
516,12/21/2016,13.375
517,12/20/2016,13.4
518,12/19/2016,13.32
519,12/16/2016,13.024999999999999
520,12/15/2016,12.900500000000001
521,12/14/2016,13.1
522,12/13/2016,13.175
523,12/12/2016,13.425
524,12/09/2016,13.825
525,12/08/2016,13.8625
526,12/07/2016,14.0035
527,12/06/2016,14.1
528,12/05/2016,14.175
529,12/02/2016,14.175
530,12/01/2016,14.55
531,11/30/2016,15.0125
532,11/29/2016,15.575
533,11/28/2016,15.92535
534,11/25/2016,15.9
535,11/23/2016,15.55
536,11/22/2016,15.4
537,11/21/2016,15.2875
538,11/18/2016,15.2
539,11/17/2016,15.1
540,11/16/2016,14.85
541,11/15/2016,14.7
542,11/14/2016,14.95
543,11/11/2016,14.95
544,11/10/2016,14.575
545,11/09/2016,16.36235
546,11/08/2016,16.17505
547,11/07/2016,15.8
548,11/04/2016,15.5
549,11/03/2016,15.625
550,11/02/2016,15.975
551,11/01/2016,16.175
552,10/31/2016,16.275
553,10/28/2016,16.15
554,10/27/2016,16.25
555,10/26/2016,16.425
556,10/25/2016,16.57525
557,10/24/2016,16.9
558,10/21/2016,16.65
559,10/20/2016,16.825
560,10/19/2016,16.975
561,10/18/2016,16.85
562,10/17/2016,16.775
563,10/14/2016,16.8375
564,10/13/2016,16.840000000000003
565,10/12/2016,17.125
566,10/11/2016,17.355
567,10/10/2016,17.604999999999997
568,10/07/2016,17.433349999999997
569,10/06/2016,17.490000000000002
570,10/05/2016,17.6925
571,10/04/2016,17.975499999999997
572,10/03/2016,17.695
573,09/30/2016,18.11
574,09/29/2016,18.21
575,09/28/2016,18.165
576,09/27/2016,18.055
577,09/26/2016,17.990000000000002
578,09/23/2016,18.205
579,09/22/2016,18.244999999999997
580,09/21/2016,18.305
581,09/20/2016,18.380000000000003
582,09/19/2016,18.4875
583,09/16/2016,18.33
584,09/15/2016,18.190849999999998
585,09/14/2016,18.095
586,09/13/2016,18.115000000000002
587,09/12/2016,18.195
588,09/09/2016,18.26555
589,09/08/2016,18.525
590,09/07/2016,18.17
591,09/06/2016,18.145
592,09/02/2016,18.04
593,09/01/2016,17.814999999999998
594,08/31/2016,17.759999999999998
595,08/30/2016,17.83
596,08/29/2016,17.765
597,08/26/2016,17.715
598,08/25/2016,17.590000000000003
599,08/24/2016,17.5195
600,08/23/2016,17.460050000000003
601,08/22/2016,17.189999999999998
602,08/19/2016,17.174999999999997
603,08/18/2016,16.83
604,08/17/2016,16.585
605,08/16/2016,16.54
606,08/15/2016,16.46
607,08/12/2016,16.24495
608,08/11/2016,16.355
609,08/10/2016,16.04
610,08/09/2016,15.65
611,08/08/2016,15.690000000000001
612,08/05/2016,15.415
613,08/04/2016,14.42
614,08/03/2016,13.535
615,08/02/2016,13.99
616,08/01/2016,14.035
617,07/29/2016,13.915
618,07/28/2016,13.955
619,07/27/2016,13.915
620,07/26/2016,13.809999999999999
621,07/25/2016,13.870000000000001
622,07/22/2016,13.875
623,07/21/2016,13.927499999999998
624,07/20/2016,13.945
625,07/19/2016,13.8
626,07/18/2016,13.95
627,07/15/2016,13.89
628,07/14/2016,13.885
629,07/13/2016,13.940000000000001
630,07/12/2016,14.01005
631,07/11/2016,13.88975
632,07/08/2016,13.775
633,07/07/2016,13.455
634,07/06/2016,13.42
635,07/05/2016,13.385
636,07/01/2016,13.535
637,06/30/2016,13.17
638,06/29/2016,12.530000000000001
639,06/28/2016,12.4745
640,06/27/2016,12.205
641,06/24/2016,12.91
642,06/23/2016,13.74
643,06/22/2016,13.805
644,06/21/2016,13.84
645,06/20/2016,13.72
646,06/17/2016,13.5725
647,06/16/2016,13.495000000000001
648,06/15/2016,13.355
649,06/14/2016,13.260000000000002
650,06/13/2016,13.4275
651,06/10/2016,13.695
652,06/09/2016,13.83
653,06/08/2016,13.870000000000001
654,06/07/2016,13.850000000000001
655,06/06/2016,13.915
656,06/03/2016,13.625
657,06/02/2016,13.66
658,06/01/2016,13.65
659,05/31/2016,13.58
660,05/27/2016,13.265
661,05/26/2016,13.365
662,05/25/2016,13.295
663,05/24/2016,12.615
664,05/23/2016,12.4025
665,05/20/2016,12.16
666,05/19/2016,11.77
667,05/18/2016,11.85
668,05/17/2016,11.785
669,05/16/2016,11.975000000000001
670,05/13/2016,11.95
671,05/12/2016,11.99
672,05/11/2016,12.065
673,05/10/2016,12.219999999999999
674,05/09/2016,11.7575
675,05/06/2016,11.350000000000001
676,05/05/2016,11.95
677,05/04/2016,11.9525
678,05/03/2016,11.925
679,05/02/2016,12.1125
680,04/29/2016,12.030000000000001
