,Date,Avg
1,01/11/2019,0.2507
2,01/10/2019,0.28
3,01/09/2019,0.27
4,01/08/2019,0.26
5,01/07/2019,0.2585
6,01/04/2019,0.2451
7,01/03/2019,0.3
8,01/02/2019,0.3
9,12/31/2018,0.28500000000000003
10,12/28/2018,0.23
11,12/27/2018,0.29
12,12/26/2018,0.29
13,12/24/2018,0.29
14,12/21/2018,0.29
15,12/20/2018,0.3
16,12/19/2018,0.3
17,12/18/2018,0.275
18,12/17/2018,0.3
19,12/14/2018,0.3
20,12/13/2018,0.3
21,12/12/2018,0.32499999999999996
22,12/11/2018,0.2955
23,12/10/2018,0.38
24,12/07/2018,0.4
25,12/06/2018,0.41
26,12/04/2018,0.42
27,12/03/2018,0.43
28,11/30/2018,0.385
29,11/29/2018,0.4
30,11/28/2018,0.335
31,11/27/2018,0.38
32,11/26/2018,0.4
33,11/23/2018,0.35
34,11/21/2018,0.35
35,11/20/2018,0.36
36,11/19/2018,0.38
37,11/16/2018,0.39
38,11/15/2018,0.35
39,11/14/2018,0.4
40,11/13/2018,0.38
41,11/12/2018,0.39
42,11/09/2018,0.3725
43,11/08/2018,0.40095000000000003
44,11/07/2018,0.42
45,11/06/2018,0.4
46,11/05/2018,0.385
47,11/02/2018,0.389
48,11/01/2018,0.385
49,10/31/2018,0.3936
50,10/30/2018,0.39
51,10/29/2018,0.4016
52,10/26/2018,0.4016
53,10/25/2018,0.4016
54,10/24/2018,0.40080000000000005
55,10/23/2018,0.38
56,10/22/2018,0.365
57,10/19/2018,0.36885
58,10/18/2018,0.42
59,10/17/2018,0.42
60,10/16/2018,0.43
61,10/15/2018,0.45
62,10/12/2018,0.4605
63,10/11/2018,0.45
64,10/10/2018,0.42
65,10/09/2018,0.42
66,10/08/2018,0.42
67,10/05/2018,0.42
68,10/04/2018,0.42
69,10/03/2018,0.42
70,10/02/2018,0.425
71,10/01/2018,0.43
72,09/28/2018,0.4596
73,09/27/2018,0.45
74,09/26/2018,0.45
75,09/25/2018,0.45
76,09/24/2018,0.45
77,09/21/2018,0.45
78,09/20/2018,0.4802
79,09/19/2018,0.4802
80,09/18/2018,0.4802
81,09/17/2018,0.4802
82,09/14/2018,0.48329999999999995
83,09/13/2018,0.485
84,09/12/2018,0.485
85,09/11/2018,0.485
86,09/10/2018,0.485
87,09/07/2018,0.485
88,09/06/2018,0.485
89,09/05/2018,0.46499999999999997
90,09/04/2018,0.5
91,08/31/2018,0.45
92,08/30/2018,0.53
93,08/29/2018,0.53
94,08/28/2018,0.53
95,08/27/2018,0.53
96,08/24/2018,0.53
97,08/23/2018,0.51
98,08/22/2018,0.515
99,08/21/2018,0.5299
100,08/20/2018,0.5102
101,08/17/2018,0.5102
102,08/16/2018,0.5102
103,08/15/2018,0.5102
104,08/14/2018,0.5102
105,08/13/2018,0.5102
106,08/10/2018,0.5051
107,08/09/2018,0.48
108,08/08/2018,0.4787
109,08/07/2018,0.48935
110,08/06/2018,0.49200000000000005
111,08/03/2018,0.46
112,08/02/2018,0.45
113,08/01/2018,0.43
114,07/31/2018,0.43
115,07/30/2018,0.43
116,07/27/2018,0.45
117,07/26/2018,0.47395
118,07/25/2018,0.45
119,07/24/2018,0.45
120,07/23/2018,0.45
121,07/20/2018,0.445
122,07/19/2018,0.47
123,07/18/2018,0.47
124,07/17/2018,0.47
125,07/16/2018,0.45
126,07/13/2018,0.45
127,07/12/2018,0.44995
128,07/11/2018,0.45
129,07/10/2018,0.45
130,07/09/2018,0.4968
131,07/06/2018,0.4934
132,07/05/2018,0.4865
133,07/03/2018,0.46
134,07/02/2018,0.46
135,06/29/2018,0.47
136,06/28/2018,0.49
137,06/27/2018,0.45499999999999996
138,06/26/2018,0.48
139,06/25/2018,0.42505000000000004
140,06/22/2018,0.40249999999999997
141,06/21/2018,0.42500000000000004
142,06/20/2018,0.42000000000000004
143,06/19/2018,0.422
144,06/18/2018,0.45
145,06/15/2018,0.44
146,06/14/2018,0.4565
147,06/13/2018,0.4565
148,06/12/2018,0.43325
149,06/11/2018,0.45
150,06/08/2018,0.41500000000000004
151,06/07/2018,0.425
152,06/06/2018,0.41
153,06/05/2018,0.33004999999999995
154,06/04/2018,0.4
155,06/01/2018,0.4
156,05/31/2018,0.4
157,05/30/2018,0.4
158,05/29/2018,0.4
159,05/25/2018,0.4
160,05/24/2018,0.4
161,05/23/2018,0.38495
162,05/22/2018,0.39
163,05/21/2018,0.39
164,05/18/2018,0.39
165,05/17/2018,0.36445000000000005
166,05/16/2018,0.42
167,05/15/2018,0.39
168,05/14/2018,0.44
169,05/11/2018,0.44
170,05/10/2018,0.44
171,05/09/2018,0.44
172,05/08/2018,0.44
173,05/07/2018,0.4004
174,05/04/2018,0.4
175,05/03/2018,0.4
176,05/02/2018,0.4
177,05/01/2018,0.4
178,04/30/2018,0.44
179,04/27/2018,0.44
180,04/26/2018,0.44
181,04/25/2018,0.44
182,04/24/2018,0.44
183,04/23/2018,0.45
184,04/20/2018,0.45
185,04/19/2018,0.45
186,04/18/2018,0.45
187,04/17/2018,0.45999999999999996
188,04/16/2018,0.48
189,04/13/2018,0.48
190,04/12/2018,0.48
191,04/11/2018,0.48
192,04/10/2018,0.48
193,04/09/2018,0.48
194,04/06/2018,0.48
195,04/05/2018,0.48
196,04/04/2018,0.47
197,04/03/2018,0.485
198,04/02/2018,0.5
199,03/29/2018,0.45965
200,03/28/2018,0.49
201,03/27/2018,0.485
202,03/26/2018,0.45
203,03/23/2018,0.45
204,03/22/2018,0.45
205,03/21/2018,0.45
206,03/20/2018,0.485
207,03/19/2018,0.54
208,03/16/2018,0.54
209,03/15/2018,0.54
210,03/14/2018,0.54
211,03/13/2018,0.5498
212,03/12/2018,0.5498
213,03/09/2018,0.5498
214,03/08/2018,0.54
215,03/07/2018,0.51
216,03/06/2018,0.51
217,03/05/2018,0.51
218,03/02/2018,0.51
219,03/01/2018,0.51
220,02/28/2018,0.51
221,02/27/2018,0.499
222,02/26/2018,0.499
223,02/23/2018,0.499
224,02/22/2018,0.5087
225,02/21/2018,0.5087
226,02/20/2018,0.5087
227,02/16/2018,0.5043500000000001
228,02/15/2018,0.5
229,02/14/2018,0.5
230,02/13/2018,0.4999
231,02/12/2018,0.48
232,02/09/2018,0.49
233,02/08/2018,0.5
234,02/07/2018,0.5
235,02/06/2018,0.5
236,02/05/2018,0.5
237,02/02/2018,0.51
238,02/01/2018,0.52
239,01/31/2018,0.49315
240,01/30/2018,0.5
241,01/29/2018,0.5245
242,01/26/2018,0.5149
243,01/25/2018,0.4998
244,01/24/2018,0.5398
245,01/23/2018,0.54
246,01/22/2018,0.52445
247,01/19/2018,0.46
248,01/18/2018,0.46
249,01/17/2018,0.46
250,01/16/2018,0.46
251,01/12/2018,0.45
252,01/11/2018,0.45
253,01/10/2018,0.45
254,01/09/2018,0.5
255,01/08/2018,0.5
256,01/05/2018,0.5
257,01/04/2018,0.5
258,01/03/2018,0.5
259,01/02/2018,0.5
260,12/29/2017,0.47
261,12/28/2017,0.44
262,12/27/2017,0.44
263,12/26/2017,0.44
264,12/22/2017,0.4
265,12/21/2017,0.4
266,12/20/2017,0.4
267,12/19/2017,0.39
268,12/18/2017,0.402
269,12/15/2017,0.4
270,12/14/2017,0.38
271,12/13/2017,0.395
272,12/12/2017,0.41
273,12/11/2017,0.415
274,12/08/2017,0.38
275,12/07/2017,0.44
276,12/06/2017,0.44
277,12/05/2017,0.44
278,12/04/2017,0.4475
279,12/01/2017,0.45
280,11/30/2017,0.445
281,11/29/2017,0.4799
282,11/28/2017,0.4799
283,11/27/2017,0.45999999999999996
284,11/24/2017,0.45
285,11/22/2017,0.45
286,11/21/2017,0.45
287,11/20/2017,0.44
288,11/17/2017,0.45
289,11/16/2017,0.445
290,11/15/2017,0.42
291,11/14/2017,0.41000000000000003
292,11/13/2017,0.38
293,11/10/2017,0.41000000000000003
294,11/09/2017,0.41
295,11/08/2017,0.41
296,11/07/2017,0.41
297,11/06/2017,0.41
298,11/03/2017,0.41
299,11/02/2017,0.41
300,11/01/2017,0.405
301,10/31/2017,0.395
302,10/30/2017,0.4179
303,10/27/2017,0.4179
304,10/26/2017,0.375
305,10/25/2017,0.405
306,10/24/2017,0.405
307,10/23/2017,0.4075
308,10/20/2017,0.435
309,10/19/2017,0.42000000000000004
310,10/18/2017,0.43
311,10/17/2017,0.4798
312,10/16/2017,0.4798
313,10/13/2017,0.4798
314,10/12/2017,0.4798
315,10/11/2017,0.4798
316,10/10/2017,0.45999999999999996
317,10/09/2017,0.4556
318,10/06/2017,0.415
319,10/05/2017,0.42375
320,10/04/2017,0.435
321,10/03/2017,0.4
322,10/02/2017,0.4
323,09/29/2017,0.4
324,09/28/2017,0.375
325,09/27/2017,0.39
326,09/26/2017,0.4
327,09/25/2017,0.39995
328,09/22/2017,0.43995
329,09/21/2017,0.38
330,09/20/2017,0.4
331,09/19/2017,0.365
332,09/18/2017,0.365
