,Date,Avg
1,01/10/2019,3.165
2,01/09/2019,3.125
3,01/08/2019,3.1100000000000003
4,01/07/2019,3.1325000000000003
5,01/04/2019,3.255
6,01/03/2019,3.19
7,01/02/2019,3.2
8,12/31/2018,3.2
9,12/28/2018,3.22995
10,12/27/2018,3.0564999999999998
11,12/26/2018,3.09025
12,12/24/2018,3.04
13,12/21/2018,3.0999999999999996
14,12/20/2018,3.1919500000000003
15,12/19/2018,3.205
16,12/18/2018,3.2245999999999997
17,12/17/2018,3.37
18,12/14/2018,3.17
19,12/13/2018,3.4617500000000003
20,12/12/2018,3.315
21,12/11/2018,3.44
22,12/10/2018,3.71
23,12/07/2018,3.88
24,12/06/2018,4.275
25,12/04/2018,4.905
26,12/03/2018,4.8
27,11/30/2018,4.325
28,11/29/2018,4.14
29,11/28/2018,4.075
30,11/27/2018,3.885
31,11/26/2018,4.015000000000001
32,11/23/2018,4.1075
33,11/21/2018,4.075
34,11/20/2018,3.9625
35,11/19/2018,3.9575
36,11/16/2018,4.055
37,11/15/2018,3.9499999999999997
38,11/14/2018,3.75
39,11/13/2018,3.705
40,11/12/2018,3.825
41,11/09/2018,3.8499999999999996
42,11/08/2018,3.8225
43,11/07/2018,3.75
44,11/06/2018,3.92
45,11/05/2018,3.8674999999999997
46,11/02/2018,3.95
47,11/01/2018,4.0
48,10/31/2018,3.6799999999999997
49,10/30/2018,3.985
50,10/29/2018,4.29
51,10/26/2018,4.91
52,10/25/2018,4.96
53,10/24/2018,4.91
54,10/23/2018,5.234999999999999
55,10/22/2018,5.2875
56,10/19/2018,5.12
57,10/18/2018,4.925
58,10/17/2018,4.97
59,10/16/2018,5.3375
60,10/15/2018,4.984999999999999
61,10/12/2018,4.5765
62,10/11/2018,4.2
63,10/10/2018,4.545
64,10/09/2018,4.675
65,10/08/2018,4.775
66,10/05/2018,4.57
67,10/04/2018,4.66
68,10/03/2018,4.25
69,10/02/2018,3.75
70,10/01/2018,3.825
71,09/28/2018,3.605
72,09/27/2018,3.6799999999999997
73,09/26/2018,3.575
74,09/25/2018,3.495
75,09/24/2018,3.325
76,09/21/2018,3.19
77,09/20/2018,3.075
78,09/19/2018,3.1550000000000002
79,09/18/2018,3.45
80,09/17/2018,3.6100000000000003
81,09/14/2018,3.85
82,09/13/2018,3.625
83,09/12/2018,3.705
84,09/11/2018,3.8600000000000003
85,09/10/2018,3.975
86,09/07/2018,3.925
87,09/06/2018,3.9400000000000004
88,09/05/2018,4.275
89,09/04/2018,4.65
90,08/31/2018,4.35
91,08/30/2018,4.65
92,08/29/2018,4.3
93,08/28/2018,5.2
94,08/27/2018,5.425
95,08/24/2018,5.3149999999999995
96,08/23/2018,4.975
97,08/22/2018,4.529999999999999
98,08/21/2018,3.925
99,08/20/2018,3.35
100,08/17/2018,3.285
101,08/16/2018,3.2649999999999997
102,08/15/2018,3.3
103,08/14/2018,3.2
104,08/13/2018,2.77
105,08/10/2018,2.5
106,08/09/2018,2.5
107,08/08/2018,2.5
108,08/07/2018,2.5
109,08/06/2018,2.4
110,08/03/2018,2.4
111,08/02/2018,2.5
112,08/01/2018,2.175
113,07/31/2018,2.35
114,07/30/2018,2.4699999999999998
115,07/27/2018,2.6
116,07/26/2018,2.575
117,07/25/2018,2.625
118,07/24/2018,2.7
119,07/23/2018,2.625
120,07/20/2018,2.8
121,07/19/2018,2.725
122,07/18/2018,2.85
123,07/17/2018,2.75
124,07/16/2018,3.0
125,07/13/2018,2.95
126,07/12/2018,3.3
127,07/11/2018,2.975
128,07/10/2018,2.9000000000000004
129,07/09/2018,2.995
130,07/06/2018,3.1950000000000003
131,07/05/2018,3.6
132,07/03/2018,3.725
133,07/02/2018,3.625
134,06/29/2018,3.375
135,06/28/2018,3.25
136,06/27/2018,3.25
137,06/26/2018,3.35
138,06/25/2018,3.5
139,06/22/2018,3.625
140,06/21/2018,3.62
141,06/20/2018,2.95
142,06/19/2018,3.575
143,06/18/2018,3.0
144,06/15/2018,3.5
145,06/14/2018,3.5
146,06/13/2018,4.0
147,06/12/2018,2.75
148,06/11/2018,4.5
149,06/08/2018,7.0
150,06/07/2018,7.25
151,06/06/2018,7.255
152,06/05/2018,8.0
153,06/04/2018,8.0
154,06/01/2018,7.24
155,05/31/2018,7.24
156,05/30/2018,7.0
157,05/29/2018,5.0
158,05/25/2018,3.19
159,05/24/2018,3.19
160,05/23/2018,3.19
161,05/22/2018,3.19
