,Date,Avg
1,01/10/2019,38.4625
2,01/09/2019,38.620000000000005
3,01/08/2019,38.595
4,01/07/2019,38.4495
5,01/04/2019,38.06
6,01/03/2019,37.5275
7,01/02/2019,36.614999999999995
8,12/31/2018,36.415
9,12/28/2018,35.504999999999995
10,12/27/2018,35.962
11,12/26/2018,35.818749999999994
12,12/24/2018,35.0975
13,12/21/2018,36.072500000000005
14,12/20/2018,35.8005
15,12/19/2018,36.92
16,12/18/2018,37.905
17,12/17/2018,38.12435
18,12/14/2018,39.36
19,12/13/2018,39.695
20,12/12/2018,40.2175
21,12/11/2018,40.28
22,12/10/2018,39.6606
23,12/07/2018,39.45
24,12/06/2018,40.31
25,12/04/2018,42.08
26,12/03/2018,43.335
27,11/30/2018,43.305
28,11/29/2018,43.295
29,11/28/2018,42.6775
30,11/27/2018,42.55
31,11/26/2018,42.765
32,11/23/2018,42.325
33,11/21/2018,42.31999999999999
34,11/20/2018,42.14
35,11/19/2018,42.48
36,11/16/2018,42.335
37,11/15/2018,41.754999999999995
38,11/14/2018,41.79
39,11/13/2018,42.155
40,11/12/2018,41.845
41,11/09/2018,41.9375
42,11/08/2018,42.055
43,11/07/2018,41.495000000000005
44,11/06/2018,41.353449999999995
45,11/05/2018,41.2425
46,11/02/2018,40.865
47,11/01/2018,40.515
48,10/31/2018,40.364999999999995
49,10/30/2018,40.004999999999995
50,10/29/2018,39.9225
51,10/26/2018,38.341300000000004
52,10/25/2018,40.309799999999996
53,10/24/2018,39.78
54,10/23/2018,40.045
55,10/22/2018,40.455
56,10/19/2018,41.24
57,10/18/2018,41.925
58,10/17/2018,41.935
59,10/16/2018,41.955
60,10/15/2018,41.685
61,10/12/2018,41.32
62,10/11/2018,42.545
63,10/10/2018,43.5
64,10/09/2018,43.489999999999995
65,10/08/2018,43.415
66,10/05/2018,43.545
67,10/04/2018,43.955
68,10/03/2018,43.7
69,10/02/2018,43.46
70,10/01/2018,44.3603
71,09/28/2018,44.69
72,09/27/2018,44.835
73,09/26/2018,45.114999999999995
74,09/25/2018,45.455
75,09/24/2018,45.792500000000004
76,09/21/2018,46.34975
77,09/20/2018,46.535
78,09/19/2018,45.995
79,09/18/2018,46.09
80,09/17/2018,46.605000000000004
81,09/14/2018,46.675
82,09/13/2018,46.6
83,09/12/2018,47.03
84,09/11/2018,47.792500000000004
85,09/10/2018,48.2
86,09/07/2018,48.095
87,09/06/2018,48.72
88,09/05/2018,49.379999999999995
89,09/04/2018,49.364999999999995
90,08/31/2018,49.12115
91,08/30/2018,49.03
92,08/29/2018,49.019999999999996
93,08/28/2018,49.35
94,08/27/2018,49.989999999999995
95,08/24/2018,50.400000000000006
96,08/23/2018,50.625
97,08/22/2018,50.665
98,08/21/2018,50.254999999999995
99,08/20/2018,49.35635
100,08/17/2018,49.265
101,08/16/2018,49.2
102,08/15/2018,49.29
103,08/14/2018,49.504999999999995
104,08/13/2018,49.18
105,08/10/2018,49.09
106,08/09/2018,49.21
107,08/08/2018,49.07
108,08/07/2018,49.2825
109,08/06/2018,49.335
110,08/03/2018,49.935
111,08/02/2018,49.705
112,08/01/2018,49.2325
113,07/31/2018,48.527950000000004
114,07/30/2018,48.879999999999995
115,07/27/2018,49.004999999999995
116,07/26/2018,49.03
117,07/25/2018,48.8326
118,07/24/2018,48.875
119,07/23/2018,47.655
120,07/20/2018,47.3425
121,07/19/2018,46.485
122,07/18/2018,45.9525
123,07/17/2018,45.695
124,07/16/2018,45.574799999999996
125,07/13/2018,45.46
126,07/12/2018,45.769999999999996
127,07/11/2018,46.1225
128,07/10/2018,46.4
129,07/09/2018,46.754999999999995
130,07/06/2018,46.150000000000006
131,07/05/2018,45.89
132,07/03/2018,45.925
133,07/02/2018,45.44735
134,06/29/2018,45.64
135,06/28/2018,45.955
136,06/27/2018,46.269999999999996
137,06/26/2018,46.5816
138,06/25/2018,46.72
139,06/22/2018,47.075
140,06/21/2018,47.33
141,06/20/2018,47.72
142,06/19/2018,47.215
143,06/18/2018,46.715
144,06/15/2018,46.445
145,06/14/2018,46.44
146,06/13/2018,46.735
147,06/12/2018,46.980000000000004
148,06/11/2018,47.5
149,06/08/2018,47.855000000000004
150,06/07/2018,47.995
151,06/06/2018,47.835
152,06/05/2018,47.32
153,06/04/2018,47.34
154,06/01/2018,47.230000000000004
155,05/31/2018,46.795
156,05/30/2018,46.68
157,05/29/2018,46.235
158,05/25/2018,46.785
159,05/24/2018,46.4975
160,05/23/2018,47.075
161,05/22/2018,47.400000000000006
162,05/21/2018,46.895
163,05/18/2018,46.7
164,05/17/2018,46.3414
165,05/16/2018,45.905
166,05/15/2018,45.57
167,05/14/2018,45.525
168,05/11/2018,46.004999999999995
169,05/10/2018,45.900000000000006
170,05/09/2018,45.655
171,05/08/2018,44.835
172,05/07/2018,44.254999999999995
173,05/04/2018,44.120000000000005
174,05/03/2018,43.917500000000004
175,05/02/2018,43.8475
176,05/01/2018,43.69
177,04/30/2018,44.17
178,04/27/2018,44.035
179,04/26/2018,44.019999999999996
180,04/25/2018,43.97
181,04/24/2018,43.385
182,04/23/2018,42.845
183,04/20/2018,42.3825
184,04/19/2018,43.985
185,04/18/2018,43.095
186,04/17/2018,42.875
187,04/16/2018,42.775000000000006
188,04/13/2018,43.115
189,04/12/2018,43.185
190,04/11/2018,42.655
191,04/10/2018,42.65
192,04/09/2018,42.5
193,04/06/2018,42.265
