,Date,Avg
1,01/10/2019,1.565
2,01/09/2019,1.595
3,01/08/2019,1.625
4,01/07/2019,1.5911
5,01/04/2019,1.615
6,01/03/2019,1.6975
7,01/02/2019,1.7149999999999999
8,12/31/2018,1.745
9,12/28/2018,1.655
10,12/27/2018,1.6749999999999998
11,12/26/2018,1.555
12,12/24/2018,1.44375
13,12/21/2018,1.545
14,12/20/2018,1.585
15,12/19/2018,1.6749999999999998
16,12/18/2018,1.725
17,12/17/2018,1.7875
18,12/14/2018,1.84455
19,12/13/2018,1.8165499999999999
20,12/12/2018,1.74
21,12/11/2018,1.7395
22,12/10/2018,1.7321
23,12/07/2018,1.75
24,12/06/2018,1.77
25,12/04/2018,1.8529499999999999
26,12/03/2018,1.83
27,11/30/2018,1.74
28,11/29/2018,1.6907
29,11/28/2018,1.665
30,11/27/2018,1.7
31,11/26/2018,1.73
32,11/23/2018,1.6858
33,11/21/2018,1.605
34,11/20/2018,1.6600000000000001
35,11/19/2018,1.76275
36,11/16/2018,1.79
37,11/15/2018,1.775
38,11/14/2018,1.85005
39,11/13/2018,1.8327
40,11/12/2018,1.8284
41,11/09/2018,1.8199999999999998
42,11/08/2018,1.8342999999999998
43,11/07/2018,1.8809
44,11/06/2018,1.81
45,11/05/2018,1.645
46,11/02/2018,1.7349999999999999
47,11/01/2018,1.7
48,10/31/2018,1.6774499999999999
49,10/30/2018,1.70145
50,10/29/2018,1.65
51,10/26/2018,1.6686
52,10/25/2018,1.63
53,10/24/2018,1.59
54,10/23/2018,1.625
55,10/22/2018,1.6065999999999998
56,10/19/2018,1.6749999999999998
57,10/18/2018,1.71945
58,10/17/2018,1.7588
59,10/16/2018,1.745
60,10/15/2018,1.7101
61,10/12/2018,1.755
62,10/11/2018,1.7650000000000001
63,10/10/2018,1.8050000000000002
64,10/09/2018,1.8355000000000001
65,10/08/2018,1.87
66,10/05/2018,1.9049999999999998
67,10/04/2018,1.96015
68,10/03/2018,2.0050999999999997
69,10/02/2018,1.935
70,10/01/2018,1.935
71,09/28/2018,1.9100000000000001
72,09/27/2018,1.89505
73,09/26/2018,1.9022999999999999
74,09/25/2018,1.885
75,09/24/2018,1.9316499999999999
76,09/21/2018,1.96495
77,09/20/2018,1.935
78,09/19/2018,1.92
79,09/18/2018,1.8900000000000001
80,09/17/2018,1.86925
81,09/14/2018,1.845
82,09/13/2018,1.81995
83,09/12/2018,1.7850000000000001
84,09/11/2018,1.795
85,09/10/2018,1.815
86,09/07/2018,1.7901500000000001
87,09/06/2018,1.83
88,09/05/2018,1.9
89,09/04/2018,1.91295
90,08/31/2018,1.885
91,08/30/2018,1.8223
92,08/29/2018,1.78
93,08/28/2018,1.75
94,08/27/2018,1.7591
95,08/24/2018,1.855
96,08/23/2018,1.867
97,08/22/2018,1.855
98,08/21/2018,1.85
99,08/20/2018,1.85
100,08/17/2018,1.855
101,08/16/2018,1.925
102,08/15/2018,1.925
103,08/14/2018,1.92
104,08/13/2018,1.9215499999999999
105,08/10/2018,1.92835
106,08/09/2018,1.8795000000000002
107,08/08/2018,2.025
108,08/07/2018,2.035
109,08/06/2018,2.0149999999999997
110,08/03/2018,1.975
111,08/02/2018,2.01
112,08/01/2018,2.0549999999999997
113,07/31/2018,2.02505
114,07/30/2018,1.95
115,07/27/2018,1.94
116,07/26/2018,1.94305
117,07/25/2018,2.00015
118,07/24/2018,2.03995
119,07/23/2018,1.9819
120,07/20/2018,2.03
121,07/19/2018,2.0648999999999997
122,07/18/2018,2.06995
123,07/17/2018,2.08
124,07/16/2018,2.21005
125,07/13/2018,2.1900000000000004
126,07/12/2018,2.2
127,07/11/2018,2.21
128,07/10/2018,2.21425
129,07/09/2018,2.2
130,07/06/2018,2.21
131,07/05/2018,2.1818
132,07/03/2018,2.2
133,07/02/2018,2.1988000000000003
134,06/29/2018,2.15505
135,06/28/2018,2.075
136,06/27/2018,2.0555
137,06/26/2018,2.03375
138,06/25/2018,2.1041499999999997
139,06/22/2018,2.0999999999999996
140,06/21/2018,2.105
141,06/20/2018,2.1500000000000004
142,06/19/2018,2.23
143,06/18/2018,2.22
144,06/15/2018,2.1900000000000004
145,06/14/2018,2.1799999999999997
146,06/13/2018,2.13
147,06/12/2018,2.085
148,06/11/2018,2.0925000000000002
149,06/08/2018,2.13
150,06/07/2018,2.125
151,06/06/2018,2.2199999999999998
152,06/05/2018,2.27
153,06/04/2018,2.2651
154,06/01/2018,2.285
155,05/31/2018,2.315
156,05/30/2018,2.3449999999999998
157,05/29/2018,2.375
158,05/25/2018,2.3600000000000003
159,05/24/2018,2.3649500000000003
160,05/23/2018,2.3993
161,05/22/2018,2.385
162,05/21/2018,2.38
163,05/18/2018,2.4050000000000002
164,05/17/2018,2.425
165,05/16/2018,2.4050000000000002
166,05/15/2018,2.375
167,05/14/2018,2.385
168,05/11/2018,2.3600000000000003
169,05/10/2018,2.35
170,05/09/2018,2.325
171,05/08/2018,2.3045
172,05/07/2018,2.255
173,05/04/2018,2.25
174,05/03/2018,2.26
175,05/02/2018,2.2516499999999997
176,05/01/2018,2.205
177,04/30/2018,2.215
178,04/27/2018,2.2374
179,04/26/2018,2.26
180,04/25/2018,2.2649999999999997
181,04/24/2018,2.2800000000000002
182,04/23/2018,2.29
183,04/20/2018,2.295
