,Date,Avg
1,01/10/2019,32.435
2,01/09/2019,33.185
3,01/08/2019,32.879999999999995
4,01/07/2019,32.3
5,01/04/2019,32.01
6,01/03/2019,31.939999999999998
7,01/02/2019,31.97
8,12/31/2018,31.939999999999998
9,12/28/2018,32.49
10,12/27/2018,32.025
11,12/26/2018,31.71
12,12/24/2018,30.77
13,12/21/2018,31.54
14,12/20/2018,31.775
15,12/19/2018,32.1855
16,12/18/2018,32.46
17,12/17/2018,32.2
18,12/14/2018,32.64
19,12/13/2018,33.114999999999995
20,12/12/2018,33.2838
21,12/11/2018,33.39
22,12/10/2018,33.295
23,12/07/2018,33.515
24,12/06/2018,33.82
25,12/04/2018,34.74
26,12/03/2018,35.2
27,11/30/2018,34.5
28,11/29/2018,34.3
29,11/28/2018,33.82
30,11/27/2018,33.67
31,11/26/2018,34.254999999999995
32,11/23/2018,33.93
33,11/21/2018,33.542500000000004
34,11/20/2018,32.56
35,11/19/2018,32.665000000000006
36,11/16/2018,32.755
37,11/15/2018,32.3075
38,11/14/2018,33.542500000000004
39,11/13/2018,33.595
40,11/12/2018,33.870000000000005
41,11/09/2018,33.245000000000005
42,11/08/2018,32.95
43,11/07/2018,33.53
44,11/06/2018,36.19499999999999
45,11/05/2018,36.55
46,11/02/2018,36.195
47,11/01/2018,35.64
48,10/31/2018,35.41375
49,10/30/2018,34.7775
50,10/29/2018,34.129999999999995
51,10/26/2018,33.41
52,10/25/2018,33.915000000000006
53,10/24/2018,34.68
54,10/23/2018,34.099999999999994
55,10/22/2018,34.31
56,10/19/2018,34.629999999999995
57,10/18/2018,35.795
58,10/17/2018,35.635
59,10/16/2018,35.445
60,10/15/2018,34.86
61,10/12/2018,34.754999999999995
62,10/11/2018,34.44
63,10/10/2018,35.225
64,10/09/2018,36.364999999999995
65,10/08/2018,36.2
66,10/05/2018,35.885
67,10/04/2018,36.292500000000004
68,10/03/2018,36.495
69,10/02/2018,37.36
70,10/01/2018,38.682500000000005
71,09/28/2018,39.19
72,09/27/2018,39.305
73,09/26/2018,39.235
74,09/25/2018,38.525
75,09/24/2018,38.665
76,09/21/2018,39.105000000000004
77,09/20/2018,38.59995
78,09/19/2018,38.519999999999996
79,09/18/2018,38.9775
80,09/17/2018,38.8725
81,09/14/2018,38.945
82,09/13/2018,39.32
83,09/12/2018,38.86
84,09/11/2018,38.900499999999994
85,09/10/2018,38.843050000000005
86,09/07/2018,38.7011
87,09/06/2018,38.97
88,09/05/2018,38.78505
89,09/04/2018,38.975
90,08/31/2018,38.760000000000005
91,08/30/2018,38.33
92,08/29/2018,38.035
93,08/28/2018,38.25
94,08/27/2018,38.345
95,08/24/2018,38.325
96,08/23/2018,38.5175
97,08/22/2018,38.595
98,08/21/2018,38.4
99,08/20/2018,38.24
100,08/17/2018,37.93
101,08/16/2018,38.004999999999995
102,08/15/2018,37.792500000000004
103,08/14/2018,37.95
104,08/13/2018,37.515
105,08/10/2018,37.44
106,08/09/2018,37.425
107,08/08/2018,36.4678
108,08/07/2018,36.087500000000006
109,08/06/2018,36.12505
110,08/03/2018,36.03
111,08/02/2018,35.955
112,08/01/2018,36.1595
113,07/31/2018,35.565
114,07/30/2018,35.1
115,07/27/2018,36.095
116,07/26/2018,36.8625
117,07/25/2018,36.004999999999995
118,07/24/2018,35.620000000000005
119,07/23/2018,36.025
120,07/20/2018,36.395
121,07/19/2018,36.035
122,07/18/2018,35.38
123,07/17/2018,35.015
124,07/16/2018,33.8
125,07/13/2018,33.635000000000005
126,07/12/2018,33.4775
127,07/11/2018,33.525000000000006
128,07/10/2018,33.9025
129,07/09/2018,34.11
130,07/06/2018,34.295
131,07/05/2018,34.519999999999996
132,07/03/2018,34.835
133,07/02/2018,34.53
134,06/29/2018,35.34
135,06/28/2018,35.195
136,06/27/2018,35.5475
137,06/26/2018,35.405
138,06/25/2018,35.31
139,06/22/2018,36.227500000000006
140,06/21/2018,36.49
141,06/20/2018,36.2852
142,06/19/2018,36.55
143,06/18/2018,36.515
144,06/15/2018,36.385
145,06/14/2018,36.14
146,06/13/2018,36.04
147,06/12/2018,35.745000000000005
148,06/11/2018,35.540000000000006
149,06/08/2018,35.295
150,06/07/2018,35.46
151,06/06/2018,35.41
152,06/05/2018,34.9525
153,06/04/2018,34.45
154,06/01/2018,33.965
155,05/31/2018,33.65
156,05/30/2018,33.53
157,05/29/2018,33.175
158,05/25/2018,33.42
159,05/24/2018,32.99
160,05/23/2018,32.885000000000005
161,05/22/2018,33.14
162,05/21/2018,32.695
163,05/18/2018,32.37
164,05/17/2018,32.545
165,05/16/2018,32.395
166,05/15/2018,31.52
167,05/14/2018,31.439999999999998
168,05/11/2018,31.57
169,05/10/2018,31.655
170,05/09/2018,31.505
171,05/08/2018,29.655
172,05/07/2018,29.175
173,05/04/2018,29.450000000000003
174,05/03/2018,29.33
175,05/02/2018,29.74
176,05/01/2018,29.72
177,04/30/2018,30.134999999999998
178,04/27/2018,30.17
179,04/26/2018,29.595
180,04/25/2018,29.5173
181,04/24/2018,29.54
182,04/23/2018,29.2317
183,04/20/2018,29.255000000000003
184,04/19/2018,29.705
185,04/18/2018,30.265
186,04/17/2018,30.3475
187,04/16/2018,30.3175
188,04/13/2018,30.785
189,04/12/2018,31.1325
190,04/11/2018,30.854999999999997
191,04/10/2018,30.439999999999998
192,04/09/2018,30.0
193,04/06/2018,30.025
194,04/05/2018,29.555
195,04/04/2018,28.64
196,04/03/2018,28.35
197,04/02/2018,28.4
198,03/29/2018,29.095
199,03/28/2018,28.9525
200,03/27/2018,28.634999999999998
201,03/26/2018,28.46
202,03/23/2018,28.674999999999997
203,03/22/2018,29.15
204,03/21/2018,29.35
205,03/20/2018,29.32
206,03/19/2018,29.2575
207,03/16/2018,29.095
208,03/15/2018,28.94495
209,03/14/2018,29.365000000000002
210,03/13/2018,29.57
211,03/12/2018,29.39
212,03/09/2018,29.22
213,03/08/2018,29.46
214,03/07/2018,29.413600000000002
215,03/06/2018,29.259999999999998
216,03/05/2018,29.105
217,03/02/2018,28.81
218,03/01/2018,29.04
219,02/28/2018,29.740000000000002
220,02/27/2018,30.465
221,02/26/2018,30.049999999999997
222,02/23/2018,30.14
223,02/22/2018,30.655
224,02/21/2018,29.871650000000002
225,02/20/2018,30.509999999999998
226,02/16/2018,30.990000000000002
227,02/15/2018,30.8825
228,02/14/2018,30.475
229,02/13/2018,29.982999999999997
230,02/12/2018,29.83
231,02/09/2018,30.52
232,02/08/2018,31.385
233,02/07/2018,32.235
234,02/06/2018,31.49635
235,02/05/2018,32.445
236,02/02/2018,32.965
237,02/01/2018,32.85
238,01/31/2018,32.975
239,01/30/2018,33.1575
240,01/29/2018,33.535
241,01/26/2018,33.540000000000006
242,01/25/2018,32.510000000000005
243,01/24/2018,32.975
244,01/23/2018,33.365
245,01/22/2018,33.21
246,01/19/2018,32.955
247,01/18/2018,32.59
248,01/17/2018,32.425
249,01/16/2018,32.445
250,01/12/2018,32.045
251,01/11/2018,31.8
252,01/10/2018,31.4825
253,01/09/2018,31.9875
254,01/08/2018,32.29
255,01/05/2018,31.575
256,01/04/2018,31.32535
257,01/03/2018,31.994999999999997
258,01/02/2018,32.225
259,12/29/2017,31.8845
260,12/28/2017,31.805
261,12/27/2017,31.7025
262,12/26/2017,31.63
263,12/22/2017,31.189999999999998
264,12/21/2017,31.240000000000002
265,12/20/2017,31.119999999999997
266,12/19/2017,31.08
267,12/18/2017,30.715000000000003
268,12/15/2017,29.86
269,12/14/2017,29.41
270,12/13/2017,29.435000000000002
271,12/12/2017,29.5
272,12/11/2017,29.494999999999997
273,12/08/2017,29.72995
274,12/07/2017,29.47
275,12/06/2017,29.060000000000002
276,12/05/2017,28.665
277,12/04/2017,29.225
278,12/01/2017,28.4775
279,11/30/2017,29.22
280,11/29/2017,28.925
281,11/28/2017,28.075
282,11/27/2017,28.130000000000003
283,11/24/2017,28.189999999999998
284,11/22/2017,28.4175
285,11/21/2017,28.355
286,11/20/2017,28.509999999999998
287,11/17/2017,28.156
288,11/16/2017,28.07
289,11/15/2017,27.814999999999998
290,11/14/2017,27.775
291,11/13/2017,27.75
292,11/10/2017,27.38
293,11/09/2017,27.604999999999997
294,11/08/2017,26.72
295,11/07/2017,26.43
296,11/06/2017,26.6525
297,11/03/2017,26.9575
298,11/02/2017,26.97
299,11/01/2017,27.21
300,10/31/2017,27.8275
301,10/30/2017,28.8
302,10/27/2017,29.095
303,10/26/2017,29.04
304,10/25/2017,28.72
305,10/24/2017,29.045
306,10/23/2017,28.915
307,10/20/2017,28.96
308,10/19/2017,27.895
309,10/18/2017,28.07
310,10/17/2017,28.064999999999998
311,10/16/2017,27.915
312,10/13/2017,27.92
313,10/12/2017,27.994999999999997
314,10/11/2017,28.475
315,10/10/2017,28.865000000000002
316,10/09/2017,28.8125
317,10/06/2017,28.97
318,10/05/2017,28.92
319,10/04/2017,29.0325
320,10/03/2017,29.295
321,10/02/2017,29.115000000000002
322,09/29/2017,28.905
323,09/28/2017,28.785
324,09/27/2017,28.46
325,09/26/2017,27.985
326,09/25/2017,27.665
327,09/22/2017,27.345
328,09/21/2017,27.37
329,09/20/2017,27.34
330,09/19/2017,27.415
331,09/18/2017,27.015
332,09/15/2017,26.55
333,09/14/2017,26.685000000000002
334,09/13/2017,26.85
335,09/12/2017,26.945
336,09/11/2017,27.035
337,09/08/2017,26.775
338,09/07/2017,26.83
339,09/06/2017,26.935
340,09/05/2017,26.825
341,09/01/2017,26.525
342,08/31/2017,26.025
343,08/30/2017,25.83
344,08/29/2017,25.955
345,08/28/2017,26.22
346,08/25/2017,26.275
347,08/24/2017,26.05
348,08/23/2017,25.8375
349,08/22/2017,25.985
350,08/21/2017,25.845
351,08/18/2017,25.825
352,08/17/2017,26.375
353,08/16/2017,26.73
354,08/15/2017,26.545
355,08/14/2017,26.96
356,08/11/2017,26.025
357,08/10/2017,26.625
358,08/09/2017,27.015050000000002
359,08/08/2017,27.990000000000002
360,08/07/2017,27.995
361,08/04/2017,27.84125
362,08/03/2017,27.95
363,08/02/2017,28.155
364,08/01/2017,28.200000000000003
365,07/31/2017,28.055
366,07/28/2017,28.134999999999998
367,07/27/2017,27.872500000000002
368,07/26/2017,27.775
369,07/25/2017,27.549999999999997
370,07/24/2017,27.1675
371,07/21/2017,27.705
372,07/20/2017,27.25
373,07/19/2017,27.07
374,07/18/2017,27.205
375,07/17/2017,27.4
376,07/14/2017,27.205
377,07/13/2017,27.244999999999997
378,07/12/2017,27.244999999999997
379,07/11/2017,27.245
380,07/10/2017,27.299999999999997
381,07/07/2017,27.31
382,07/06/2017,27.23
383,07/05/2017,27.634999999999998
384,07/03/2017,27.9625
385,06/30/2017,27.86
386,06/29/2017,27.255
387,06/28/2017,26.94
