"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"RRD","R.R. Donnelley & Sons Company","4.32","$304.13M","n/a","Miscellaneous","Publishing","https://www.nasdaq.com/symbol/rrd",
"RCM","R1 RCM Inc.","7.97","$878.58M","n/a","Consumer Services","Other Consumer Services","https://www.nasdaq.com/symbol/rcm",
"RMED","Ra Medical Systems, Inc.","8.47","$107.48M","2018","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/rmed",
"RARX","Ra Pharmaceuticals, Inc.","21.35","$691.7M","2016","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/rarx",
"RADA","RADA Electronic Industries Ltd.","2.63","$86.71M","n/a","Consumer Non-Durables","Electronic Components","https://www.nasdaq.com/symbol/rada",
"RDCM","Radcom Ltd.","7.865","$107.29M","1997","Technology","Computer peripheral equipment","https://www.nasdaq.com/symbol/rdcm",
"RDN","Radian Group Inc.","16.59","$3.54B","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/rdn",
"RLGT","Radiant Logistics, Inc.","4.21","$208.22M","n/a","Transportation","Oil Refining/Marketing","https://www.nasdaq.com/symbol/rlgt",
"RDUS","Radius Health, Inc.","16.56","$754.13M","2014","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/rdus",
"RDNT","RadNet, Inc.","10.54","$515.05M","n/a","Health Care","Medical Specialities","https://www.nasdaq.com/symbol/rdnt",
"RDWR","Radware Ltd.","22.77","$1.01B","1999","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/rdwr",
"RFL","Rafael Holdings, Inc.","8.5124","$107.03M","2018","Finance","Real Estate","https://www.nasdaq.com/symbol/rfl",
"RL","Ralph Lauren Corporation","104.79","$8.43B","1997","Consumer Non-Durables","Apparel","https://www.nasdaq.com/symbol/rl",
"METC","Ramaco Resources, Inc.","4.98","$199.61M","2017","Energy","Coal Mining","https://www.nasdaq.com/symbol/metc",
"RMBS","Rambus, Inc.","8.02","$870.18M","1997","Technology","Semiconductors","https://www.nasdaq.com/symbol/rmbs",
"RAND","Rand Capital Corporation","2.21","$13.97M","n/a","Consumer Non-Durables","Textiles","https://www.nasdaq.com/symbol/rand",
